 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.52709     Clsurf  =  -0.10213
     CYsurf  =  -0.02031     Cmsurf  =  -1.98319
     CDsurf  =   0.01947     Cnsurf  =  -0.01067
     CDisurf =   0.01947     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.03312     CDsurf  =   0.03818

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104  10.9633   0.1275   0.8772   0.8772   0.0927   0.0000  -0.0568  -0.2768    0.315
     2  22.4080   0.0380  -0.9570  12.4590   0.6307  10.9634   0.1275   0.8772   0.8772   0.0925   0.0000  -0.0568  -0.2768    0.315
     3  22.4080   0.1054  -0.9570  12.4590   1.0498  10.9639   0.1275   0.8773   0.8773   0.0921   0.0000  -0.0568  -0.2768    0.315
     4  22.4080   0.2065  -0.9570  12.4590   1.4668  10.9657   0.1275   0.8775   0.8775   0.0918   0.0000  -0.0570  -0.2770    0.315
     5  22.4080   0.3408  -0.9570  12.4590   1.8808  10.9700   0.1276   0.8779   0.8779   0.0915   0.0000  -0.0573  -0.2774    0.315
     6  22.4080   0.5083  -0.9570  12.4590   2.2910  10.9786   0.1277   0.8787   0.8787   0.0914   0.0000  -0.0579  -0.2782    0.316
     7  22.4080   0.7085  -0.9570  12.4590   2.6966  10.9936   0.1277   0.8798   0.8798   0.0916   0.0000  -0.0590  -0.2796    0.317
     8  22.4080   0.9411  -0.9570  12.4590   3.0968  11.0182   0.1276   0.8817   0.8817   0.0923   0.0000  -0.0607  -0.2817    0.319
     9  22.4080   1.2055  -0.9570  12.4590   3.4907  11.0568   0.1265   0.8846   0.8846   0.0937   0.0000  -0.0632  -0.2851    0.321
    10  22.4080   1.5013  -0.9570  12.4590   3.8776  11.1167   0.1231   0.8891   0.8891   0.0961   0.0000  -0.0670  -0.2901    0.325
