 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.08742     Clsurf  =  -0.01281
     CYsurf  =  -0.00765     Cmsurf  =  -0.32881
     CDsurf  =   0.00156     Cnsurf  =   0.00349
     CDisurf =   0.00156     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.17205     CDsurf  =   0.00307

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   2.5566  -0.0550   0.2052   0.2052   0.0022   0.0000  -0.0420  -0.0933    0.455
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   2.5567  -0.0550   0.2052   0.2052   0.0022   0.0000  -0.0420  -0.0933    0.455
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   2.5573  -0.0550   0.2053   0.2053   0.0021   0.0000  -0.0420  -0.0934    0.455
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   2.5594  -0.0552   0.2054   0.2054   0.0021   0.0000  -0.0422  -0.0935    0.455
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   2.5643  -0.0555   0.2058   0.2058   0.0020   0.0000  -0.0424  -0.0939    0.456
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   2.5740  -0.0561   0.2066   0.2066   0.0020   0.0000  -0.0429  -0.0945    0.458
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   2.5911  -0.0570   0.2080   0.2080   0.0019   0.0000  -0.0437  -0.0957    0.460
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   2.6189  -0.0583   0.2102   0.2102   0.0019   0.0000  -0.0450  -0.0975    0.464
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   2.6623  -0.0597   0.2137   0.2137   0.0020   0.0000  -0.0470  -0.1004    0.470
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   2.7285  -0.0607   0.2190   0.2190   0.0020   0.0000  -0.0499  -0.1047    0.478
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   2.8298  -0.0604   0.2271   0.2271   0.0021   0.0000  -0.0544  -0.1111    0.489
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   2.9907  -0.0578   0.2400   0.2400   0.0025   0.0000  -0.0612  -0.1212    0.505
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   3.2834  -0.0513   0.2635   0.2635   0.0048   0.0000  -0.0732  -0.1390    0.528
    14  22.5966   3.0754  -0.9200  12.2979   7.5875   4.0177   0.3827   0.4050   0.3267   0.0510   0.0000  -0.1030  -0.1568    0.565
    15  22.9924   3.7075  -0.8424  11.9598   7.8494   3.9933   0.3966   0.4139   0.3339   0.0485   0.0000  -0.1036  -0.1589    0.560
    16  23.3450   4.2708  -0.7732  11.6585   5.5431   3.1242  -0.0236   0.3322   0.2680   0.0010   0.0000  -0.0695  -0.1159    0.509
