 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.09671     Clsurf  =  -0.01503
     CYsurf  =  -0.00848     Cmsurf  =  -0.02352
     CDsurf  =   0.00168     Cnsurf  =   0.00025
     CDisurf =   0.00168     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.19034     CDsurf  =   0.00330

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0036  -0.9570  12.4590   0.1808   2.7143  -0.0453   0.2179   0.2179   0.0028   0.0000  -0.0502  -0.1046    0.480
     2  22.4080   0.0327  -0.9570  12.4590   0.5422   2.7143  -0.0453   0.2179   0.2179   0.0028   0.0000  -0.0502  -0.1046    0.480
     3  22.4080   0.0907  -0.9570  12.4590   0.9028   2.7147  -0.0454   0.2179   0.2179   0.0027   0.0000  -0.0502  -0.1047    0.480
     4  22.4080   0.1775  -0.9570  12.4590   1.2619   2.7161  -0.0455   0.2180   0.2180   0.0027   0.0000  -0.0503  -0.1048    0.481
     5  22.4080   0.2932  -0.9570  12.4590   1.6191   2.7193  -0.0457   0.2183   0.2183   0.0026   0.0000  -0.0504  -0.1050    0.481
     6  22.4080   0.4374  -0.9570  12.4590   1.9739   2.7255  -0.0461   0.2188   0.2188   0.0026   0.0000  -0.0508  -0.1055    0.482
     7  22.4080   0.6100  -0.9570  12.4590   2.3255   2.7365  -0.0467   0.2196   0.2196   0.0026   0.0000  -0.0513  -0.1062    0.484
     8  22.4080   0.8106  -0.9570  12.4590   2.6736   2.7542  -0.0476   0.2211   0.2211   0.0025   0.0000  -0.0522  -0.1074    0.486
     9  22.4080   1.0391  -0.9570  12.4590   3.0176   2.7814  -0.0487   0.2232   0.2232   0.0025   0.0000  -0.0535  -0.1093    0.490
    10  22.4080   1.2949  -0.9570  12.4590   3.3569   2.8221  -0.0497   0.2265   0.2265   0.0025   0.0000  -0.0554  -0.1120    0.495
