 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.08663     Clsurf  =  -0.01313
     CYsurf  =  -0.00759     Cmsurf  =  -0.01905
     CDsurf  =   0.00152     Cnsurf  =   0.00022
     CDisurf =   0.00152     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.17050     CDsurf  =   0.00297

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    37  30.2113  15.3067   0.3856   7.3587   5.0393   1.1138   0.0029   0.1980   0.1514  -0.0007   0.0000  -0.0157  -0.0455    0.353
    38  30.6342  15.9907   0.4454   7.1901   4.9468   1.0711   0.0028   0.1948   0.1490  -0.0007   0.0000  -0.0158  -0.0452    0.356
    39  31.0587  16.6772   0.5055   7.0209   4.8453   1.0286   0.0027   0.1916   0.1465  -0.0007   0.0000  -0.0160  -0.0448    0.359
    40  31.4842  17.3654   0.5657   6.8512   4.7356   0.9860   0.0025   0.1882   0.1439  -0.0006   0.0000  -0.0164  -0.0446    0.364
    41  31.9100  18.0541   0.6259   6.6815   4.6182   0.9433   0.0021   0.1846   0.1412  -0.0006   0.0000  -0.0168  -0.0444    0.369
    42  32.3355  18.7423   0.6861   6.5119   4.4941   0.9003   0.0016   0.1808   0.1382  -0.0006   0.0000  -0.0174  -0.0443    0.376
    43  32.7600  19.4289   0.7462   6.3426   4.3638   0.8570   0.0010   0.1767   0.1351  -0.0005   0.0000  -0.0184  -0.0444    0.386
    44  33.1829  20.1128   0.8060   6.1740   4.2281   0.8138   0.0002   0.1724   0.1318  -0.0004   0.0000  -0.0199  -0.0450    0.401
    45  33.6034  20.7930   0.8655   6.0064   4.0877   0.7711  -0.0007   0.1679   0.1284  -0.0001   0.0000  -0.0222  -0.0462    0.423
    46  34.0211  21.4685   0.9246   5.8399   3.9435   0.7293  -0.0016   0.1633   0.1249   0.0004   0.0000  -0.0261  -0.0488    0.459
    47  34.4351  22.1382   0.9832   5.6748   3.7961   0.6892  -0.0025   0.1588   0.1214   0.0015   0.0000  -0.0334  -0.0543    0.525
    48  34.7955  22.7210   1.0342   5.5312   2.7734   0.6546  -0.0031   0.1548   0.1183   0.0063   0.0000  -0.0545  -0.0716    0.711
    49  35.1476  23.2905   1.0840   5.3908   3.4568   0.6220  -0.0036   0.1509   0.1154   0.0002   0.0000  -0.0613  -0.0767    0.781
    50  35.5398  23.9248   1.1395   5.2344   3.3083   0.5889  -0.0039   0.1471   0.1125  -0.0014   0.0000  -0.0643  -0.0787    0.822
    51  35.9260  24.5495   1.1942   5.0805   3.1592   0.5579  -0.0042   0.1436   0.1098  -0.0019   0.0000  -0.0659  -0.0795    0.850
    52  36.3056  25.1635   1.2479   4.9291   3.0101   0.5290  -0.0044   0.1404   0.1073  -0.0020   0.0000  -0.0669  -0.0798    0.873
