 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.24587     Clsurf  =  -0.04528
     CYsurf  =  -0.01924     Cmsurf  =  -0.94387
     CDsurf  =   0.00508     Cnsurf  =   0.00699
     CDisurf =   0.00508     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.48353     CDsurf  =   0.00996

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    37  32.4066  18.8573   0.6962   6.4835   5.2972   3.0774   0.0133   0.6231   0.4750  -0.0021   0.0000  -0.0279  -0.1253    0.309
    38  32.9089  19.6698   0.7673   6.2832   5.1129   2.9793   0.0126   0.6225   0.4745  -0.0022   0.0000  -0.0301  -0.1271    0.313
    39  33.4087  20.4781   0.8380   6.0840   4.9207   2.8822   0.0119   0.6219   0.4741  -0.0019   0.0000  -0.0337  -0.1300    0.321
    40  33.9050  21.2808   0.9082   5.8861   4.7221   2.7866   0.0113   0.6214   0.4737  -0.0006   0.0000  -0.0395  -0.1349    0.333
    41  34.3967  22.0761   0.9778   5.6901   4.5183   2.6935   0.0106   0.6212   0.4735   0.0039   0.0000  -0.0495  -0.1434    0.355
    42  34.7955  22.7211   1.0342   5.5311   2.7734   2.6152   0.0103   0.6209   0.4733  -0.0061   0.0000  -0.0750  -0.1649    0.408
    43  35.1799  23.3428   1.0886   5.3779   4.0090   2.5397   0.0102   0.6203   0.4728  -0.0089   0.0000  -0.0845  -0.1729    0.429
    44  35.6353  24.0794   1.1531   5.1963   3.8090   2.4555   0.0102   0.6207   0.4732  -0.0096   0.0000  -0.0887  -0.1765    0.437
    45  36.0826  24.8028   1.2163   5.0180   3.6083   2.3725   0.0103   0.6210   0.4734  -0.0096   0.0000  -0.0907  -0.1783    0.442
    46  36.5209  25.5117   1.2784   4.8433   3.4082   2.2911   0.0105   0.6214   0.4737  -0.0095   0.0000  -0.0917  -0.1792    0.444
    47  36.9492  26.2045   1.3390   4.6725   3.2096   2.2113   0.0109   0.6216   0.4739  -0.0094   0.0000  -0.0922  -0.1797    0.445
    48  37.3668  26.8799   1.3981   4.5060   3.0133   2.1330   0.0114   0.6218   0.4740  -0.0094   0.0000  -0.0924  -0.1799    0.445
    49  37.7728  27.5366   1.4555   4.3442   2.8202   2.0559   0.0121   0.6216   0.4739  -0.0094   0.0000  -0.0924  -0.1798    0.445
    50  38.1664  28.1731   1.5112   4.1873   2.6312   1.9798   0.0130   0.6211   0.4734  -0.0095   0.0000  -0.0921  -0.1795    0.444
    51  38.5467  28.7882   1.5650   4.0357   2.4467   1.9044   0.0141   0.6198   0.4725  -0.0096   0.0000  -0.0916  -0.1788    0.444
    52  38.9130  29.3807   1.6168   3.8896   2.2675   1.8291   0.0154   0.6177   0.4709  -0.0097   0.0000  -0.0908  -0.1778    0.443
    53  39.2646  29.9494   1.6666   3.7494   2.0939   1.7533   0.0170   0.6143   0.4682  -0.0098   0.0000  -0.0897  -0.1763    0.442
    54  39.6008  30.4931   1.7142   3.6154   1.9264   1.6764   0.0188   0.6091   0.4643  -0.0100   0.0000  -0.0881  -0.1742    0.440
    55  39.9208  31.0107   1.7595   3.4878   1.7654   1.5973   0.0208   0.6016   0.4586  -0.0102   0.0000  -0.0861  -0.1712    0.438
    56  40.2241  31.5013   1.8024   3.3669   1.6109   1.5152   0.0226   0.5912   0.4507  -0.0105   0.0000  -0.0834  -0.1672    0.435
    57  40.5101  31.9637   1.8428   3.2529   1.4631   1.4294   0.0243   0.5773   0.4401  -0.0109   0.0000  -0.0801  -0.1621    0.432
    58  40.7780  32.3972   1.8807   3.1461   1.3219   1.3393   0.0256   0.5593   0.4264  -0.0116   0.0000  -0.0762  -0.1559    0.429
    59  41.0275  32.8007   1.9161   3.0466   1.1875   1.2451   0.0265   0.5371   0.4094  -0.0130   0.0000  -0.0719  -0.1486    0.426
    60  41.2443  33.1513   1.9467   2.9602   0.9321   1.1511   0.0267   0.5112   0.3897  -0.0174   0.0000  -0.0673  -0.1404    0.423
    61  41.4296  33.4511   1.9730   2.8863   0.8279   1.0584   0.0253   0.4827   0.3680  -0.0302   0.0000  -0.0619  -0.1311    0.418
