 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.49283     Clsurf  =  -0.09493
     CYsurf  =  -0.01888     Cmsurf  =  -1.84994
     CDsurf  =   0.01724     Cnsurf  =  -0.00983
     CDisurf =   0.01724     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.96597     CDsurf  =   0.03380

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104  10.3363   0.1239   0.8281   0.8281   0.0813   0.0000  -0.0487  -0.2561    0.309
     2  22.4080   0.0380  -0.9570  12.4590   0.6307  10.3363   0.1239   0.8281   0.8281   0.0812   0.0000  -0.0487  -0.2561    0.309
     3  22.4080   0.1054  -0.9570  12.4590   1.0498  10.3369   0.1239   0.8282   0.8282   0.0808   0.0000  -0.0487  -0.2561    0.309
     4  22.4080   0.2065  -0.9570  12.4590   1.4668  10.3386   0.1239   0.8284   0.8284   0.0805   0.0000  -0.0489  -0.2563    0.309
     5  22.4080   0.3408  -0.9570  12.4590   1.8808  10.3429   0.1240   0.8288   0.8288   0.0802   0.0000  -0.0492  -0.2567    0.309
     6  22.4080   0.5083  -0.9570  12.4590   2.2910  10.3513   0.1240   0.8295   0.8295   0.0802   0.0000  -0.0498  -0.2575    0.310
     7  22.4080   0.7085  -0.9570  12.4590   2.6966  10.3660   0.1239   0.8307   0.8307   0.0804   0.0000  -0.0508  -0.2588    0.311
     8  22.4080   0.9411  -0.9570  12.4590   3.0968  10.3902   0.1236   0.8325   0.8325   0.0812   0.0000  -0.0524  -0.2609    0.313
     9  22.4080   1.2055  -0.9570  12.4590   3.4907  10.4283   0.1222   0.8354   0.8354   0.0825   0.0000  -0.0549  -0.2642    0.316
    10  22.4080   1.5013  -0.9570  12.4590   3.8776  10.4872   0.1185   0.8398   0.8398   0.0848   0.0000  -0.0586  -0.2690    0.320
    11  22.4080   1.8278  -0.9570  12.4590   4.2567  10.5796   0.1107   0.8466   0.8466   0.0886   0.0000  -0.0640  -0.2763    0.326
    12  22.4080   2.1844  -0.9570  12.4590   4.6273  10.7337   0.0970   0.8580   0.8580   0.0956   0.0000  -0.0723  -0.2876    0.334
    13  22.4080   2.5704  -0.9570  12.4590   4.9885  11.0775   0.0763   0.8810   0.8810   0.1237   0.0000  -0.0859  -0.3082    0.348
    14  22.5966   3.0754  -0.9200  12.2979   7.5875  11.7057   0.4665   1.1754   0.9353   0.1766   0.0000  -0.1140  -0.3057    0.372
    15  22.9924   3.7075  -0.8424  11.9598   7.8494  11.5897   0.4487   1.2009   0.9556   0.1603   0.0000  -0.1119  -0.3077    0.367
    16  23.3450   4.2708  -0.7732  11.6585   5.5431  10.7021   0.0402   1.1538   0.9181   0.0788   0.0000  -0.0772  -0.2674    0.334
    17  23.6484   4.7553  -0.7137  11.3993   5.7056  10.2844   0.0455   1.1354   0.9035   0.0706   0.0000  -0.0614  -0.2507    0.318
    18  23.9670   5.2641  -0.6513  11.1271   5.8372   9.9809   0.0505   1.1304   0.8995   0.0636   0.0000  -0.0508  -0.2406    0.307
    19  24.3002   5.7964  -0.5859  10.8424   5.9373   9.7306   0.0543   1.1323   0.9010   0.0575   0.0000  -0.0430  -0.2342    0.298
    20  24.6474   6.3509  -0.5178  10.5458   6.0058   9.5096   0.0565   1.1390   0.9064   0.0520   0.0000  -0.0371  -0.2302    0.291
    21  25.0079   6.9266  -0.4471  10.2379   6.0430   9.3058   0.0571   1.1494   0.9146   0.0469   0.0000  -0.0325  -0.2279    0.285
    22  25.3809   7.5223  -0.3740   9.9192   6.0490   9.1118   0.0557   1.1627   0.9252   0.0422   0.0000  -0.0289  -0.2270    0.281
    23  25.7657   8.1368  -0.2985   9.5905   6.0244   8.9229   0.0521   1.1788   0.9380   0.0377   0.0000  -0.0262  -0.2274    0.278
    24  26.1614   8.7690  -0.2209   9.2523   5.9700   8.7362   0.0459   1.1973   0.9528   0.0334   0.0000  -0.0244  -0.2289    0.276
    25  26.5674   9.4174  -0.1413   8.9055   5.8867   8.5483   0.0362   1.2182   0.9694   0.0294   0.0000  -0.0233  -0.2315    0.274
