 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.28972     Clsurf  =  -0.05496
     CYsurf  =  -0.01838     Cmsurf  =  -0.06545
     CDsurf  =   0.00668     Cnsurf  =  -0.00476
     CDisurf =   0.00668     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.56905     CDsurf  =   0.01310

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0036  -0.9570  12.4590   0.1808   6.3710   0.0429   0.5108   0.5108   0.0292   0.0000  -0.0424  -0.1703    0.333
     2  22.4080   0.0327  -0.9570  12.4590   0.5422   6.3710   0.0429   0.5108   0.5108   0.0291   0.0000  -0.0424  -0.1703    0.333
     3  22.4080   0.0907  -0.9570  12.4590   0.9028   6.3714   0.0429   0.5108   0.5108   0.0290   0.0000  -0.0425  -0.1703    0.333
     4  22.4080   0.1775  -0.9570  12.4590   1.2619   6.3726   0.0429   0.5109   0.5109   0.0288   0.0000  -0.0425  -0.1704    0.333
     5  22.4080   0.2932  -0.9570  12.4590   1.6191   6.3755   0.0428   0.5112   0.5112   0.0286   0.0000  -0.0427  -0.1707    0.334
     6  22.4080   0.4374  -0.9570  12.4590   1.9739   6.3812   0.0426   0.5116   0.5116   0.0284   0.0000  -0.0431  -0.1711    0.334
     7  22.4080   0.6100  -0.9570  12.4590   2.3255   6.3911   0.0424   0.5124   0.5124   0.0284   0.0000  -0.0437  -0.1720    0.335
     8  22.4080   0.8106  -0.9570  12.4590   2.6736   6.4072   0.0419   0.5137   0.5137   0.0285   0.0000  -0.0447  -0.1733    0.337
     9  22.4080   1.0391  -0.9570  12.4590   3.0176   6.4321   0.0411   0.5157   0.5157   0.0288   0.0000  -0.0462  -0.1752    0.340
    10  22.4080   1.2949  -0.9570  12.4590   3.3569   6.4695   0.0398   0.5187   0.5187   0.0293   0.0000  -0.0483  -0.1781    0.343
    11  22.4080   1.5778  -0.9570  12.4590   3.6910   6.5252   0.0374   0.5231   0.5231   0.0301   0.0000  -0.0514  -0.1824    0.348
    12  22.4080   1.8873  -0.9570  12.4590   4.0195   6.6093   0.0335   0.5297   0.5297   0.0315   0.0000  -0.0559  -0.1885    0.356
    13  22.4080   2.2230  -0.9570  12.4590   4.3417   6.7428   0.0279   0.5403   0.5403   0.0342   0.0000  -0.0626  -0.1978    0.366
    14  22.4080   2.5842  -0.9570  12.4590   4.6573   7.0038   0.0205   0.5603   0.5603   0.0459   0.0000  -0.0735  -0.2140    0.381
    15  22.4974   2.9170  -0.9395  12.3826   3.6189   7.5732   0.4356   0.7563   0.6049   0.1036   0.0000  -0.0960  -0.2134    0.409
    16  22.6846   3.2159  -0.9028  12.2227   3.7885   7.6772   0.4320   0.7781   0.6223   0.0937   0.0000  -0.1023  -0.2224    0.414
    17  22.8826   3.5322  -0.8639  12.0536   3.9437   7.6563   0.4303   0.7874   0.6297   0.0902   0.0000  -0.1022  -0.2238    0.412
    18  23.0912   3.8653  -0.8230  11.8754   4.0839   7.4408   0.4310   0.7775   0.6218   0.0823   0.0000  -0.0942  -0.2151    0.401
    19  23.3498   4.2783  -0.7723  11.6545   5.7066   6.7347   0.0141   0.7222   0.5776   0.0280   0.0000  -0.0661  -0.1809    0.364
    20  23.6607   4.7750  -0.7113  11.3888   5.8186   6.3903   0.0171   0.7015   0.5610   0.0250   0.0000  -0.0530  -0.1662    0.344
    21  23.9847   5.2923  -0.6478  11.1120   5.9047   6.1444   0.0200   0.6916   0.5531   0.0222   0.0000  -0.0442  -0.1570    0.330
    22  24.3210   5.8296  -0.5818  10.8247   5.9646   5.9467   0.0224   0.6874   0.5497   0.0198   0.0000  -0.0378  -0.1509    0.319
    23  24.6694   6.3859  -0.5135  10.5270   5.9985   5.7770   0.0241   0.6868   0.5493   0.0176   0.0000  -0.0329  -0.1466    0.310
    24  25.0291   6.9605  -0.4430  10.2197   6.0065   5.6247   0.0250   0.6891   0.5511   0.0156   0.0000  -0.0291  -0.1438    0.303
    25  25.3998   7.5524  -0.3703   9.9031   5.9889   5.4838   0.0249   0.6935   0.5546   0.0138   0.0000  -0.0262  -0.1420    0.297
    26  25.7806   8.1608  -0.2956   9.5777   5.9462   5.3504   0.0237   0.6998   0.5597   0.0121   0.0000  -0.0240  -0.1412    0.293
    27  26.1712   8.7846  -0.2190   9.2440   5.8788   5.2220   0.0211   0.7079   0.5661   0.0105   0.0000  -0.0223  -0.1412    0.289
    28  26.5709   9.4230  -0.1406   8.9025   5.7875   5.0972   0.0164   0.7176   0.5739   0.0091   0.0000  -0.0213  -0.1419    0.287
    29  26.9647  10.0557  -0.0738   8.6530   5.3824   4.9797   0.0130   0.7593   0.5770   0.0078   0.0000  -0.0189  -0.1402    0.283
    30  27.3514  10.6811  -0.0191   8.4988   5.3831   4.8884   0.0144   0.7590   0.5768   0.0066   0.0000  -0.0173  -0.1388    0.280
    31  27.7448  11.3174   0.0366   8.3420   5.3704   4.8004   0.0151   0.7595   0.5772   0.0056   0.0000  -0.0161  -0.1379    0.278
    32  28.1443  11.9635   0.0931   8.1827   5.3448   4.7142   0.0157   0.7605   0.5779   0.0047   0.0000  -0.0153  -0.1373    0.276
    33  28.5492  12.6185   0.1504   8.0213   5.3066   4.6287   0.0163   0.7618   0.5789   0.0039   0.0000  -0.0147  -0.1370    0.275
    34  28.9591  13.2814   0.2084   7.8579   5.2564   4.5432   0.0170   0.7634   0.5801   0.0032   0.0000  -0.0143  -0.1369    0.275
    35  29.3731  13.9510   0.2670   7.6928   5.1948   4.4573   0.0176   0.7651   0.5814   0.0025   0.0000  -0.0141  -0.1370    0.274
    36  29.7907  14.6265   0.3261   7.5263   5.1222   4.3706   0.0181   0.7669   0.5828   0.0019   0.0000  -0.0139  -0.1372    0.274
    37  30.2113  15.3067   0.3856   7.3587   5.0393   4.2829   0.0185   0.7687   0.5841   0.0014   0.0000  -0.0139  -0.1374    0.274
    38  30.6342  15.9907   0.4454   7.1901   4.9468   4.1939   0.0188   0.7704   0.5854   0.0009   0.0000  -0.0140  -0.1378    0.274
    39  31.0587  16.6772   0.5055   7.0209   4.8453   4.1034   0.0189   0.7720   0.5866   0.0004   0.0000  -0.0141  -0.1381    0.274
    40  31.4842  17.3654   0.5657   6.8512   4.7356   4.0112   0.0189   0.7734   0.5877  -0.0000   0.0000  -0.0144  -0.1385    0.274
    41  31.9100  18.0541   0.6259   6.6815   4.6182   3.9174   0.0188   0.7745   0.5886  -0.0004   0.0000  -0.0147  -0.1390    0.275
    42  32.3355  18.7423   0.6861   6.5119   4.4941   3.8217   0.0184   0.7753   0.5892  -0.0007   0.0000  -0.0152  -0.1396    0.276
    43  32.7600  19.4289   0.7462   6.3426   4.3638   3.7244   0.0179   0.7758   0.5895  -0.0009   0.0000  -0.0160  -0.1403    0.277
    44  33.1829  20.1128   0.8060   6.1740   4.2281   3.6256   0.0172   0.7758   0.5896  -0.0009   0.0000  -0.0172  -0.1413    0.279
    45  33.6034  20.7930   0.8655   6.0064   4.0877   3.5260   0.0163   0.7755   0.5893  -0.0004   0.0000  -0.0192  -0.1430    0.283
    46  34.0211  21.4685   0.9246   5.8399   3.9435   3.4263   0.0153   0.7749   0.5888   0.0013   0.0000  -0.0228  -0.1459    0.289
    47  34.4351  22.1382   0.9832   5.6748   3.7961   3.3276   0.0143   0.7737   0.5880   0.0074   0.0000  -0.0295  -0.1516    0.300
    48  34.7955  22.7210   1.0342   5.5312   2.7734   3.2389   0.0137   0.7760   0.5897  -0.0220   0.0000  -0.0499  -0.1687    0.335
    49  35.1476  23.2905   1.0840   5.3908   3.4568   3.1523   0.0132   0.7740   0.5882  -0.0134   0.0000  -0.0562  -0.1738    0.346
    50  35.5398  23.9248   1.1395   5.2344   3.3083   3.0597   0.0128   0.7734   0.5877  -0.0105   0.0000  -0.0590  -0.1761    0.350
