 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.49981     Clsurf  =  -0.09639
     CYsurf  =  -0.01917     Cmsurf  =  -1.87704
     CDsurf  =   0.01768     Cnsurf  =  -0.01000
     CDisurf =   0.01768     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.97965     CDsurf  =   0.03467

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104  10.4645   0.1246   0.8381   0.8381   0.0836   0.0000  -0.0503  -0.2602    0.310
     2  22.4080   0.0380  -0.9570  12.4590   0.6307  10.4645   0.1246   0.8382   0.8382   0.0834   0.0000  -0.0503  -0.2603    0.310
     3  22.4080   0.1054  -0.9570  12.4590   1.0498  10.4651   0.1246   0.8383   0.8383   0.0831   0.0000  -0.0503  -0.2603    0.310
     4  22.4080   0.2065  -0.9570  12.4590   1.4668  10.4669   0.1247   0.8385   0.8385   0.0827   0.0000  -0.0504  -0.2605    0.310
     5  22.4080   0.3408  -0.9570  12.4590   1.8808  10.4711   0.1247   0.8389   0.8389   0.0825   0.0000  -0.0508  -0.2609    0.311
     6  22.4080   0.5083  -0.9570  12.4590   2.2910  10.4796   0.1247   0.8396   0.8396   0.0824   0.0000  -0.0514  -0.2616    0.311
     7  22.4080   0.7085  -0.9570  12.4590   2.6966  10.4944   0.1247   0.8407   0.8407   0.0827   0.0000  -0.0524  -0.2630    0.312
     8  22.4080   0.9411  -0.9570  12.4590   3.0968  10.5186   0.1244   0.8426   0.8426   0.0834   0.0000  -0.0540  -0.2651    0.314
     9  22.4080   1.2055  -0.9570  12.4590   3.4907  10.5568   0.1231   0.8455   0.8455   0.0847   0.0000  -0.0565  -0.2684    0.317
    10  22.4080   1.5013  -0.9570  12.4590   3.8776  10.6160   0.1195   0.8499   0.8499   0.0870   0.0000  -0.0603  -0.2733    0.321
    11  22.4080   1.8278  -0.9570  12.4590   4.2567  10.7087   0.1117   0.8568   0.8568   0.0909   0.0000  -0.0657  -0.2806    0.327
    12  22.4080   2.1844  -0.9570  12.4590   4.6273  10.8635   0.0981   0.8681   0.8681   0.0980   0.0000  -0.0740  -0.2920    0.335
    13  22.4080   2.5704  -0.9570  12.4590   4.9885  11.2118   0.0775   0.8913   0.8913   0.1272   0.0000  -0.0877  -0.3127    0.348
    14  22.5966   3.0754  -0.9200  12.2979   7.5875  11.8376   0.4679   1.1883   0.9456   0.1799   0.0000  -0.1158  -0.3095    0.373
    15  22.9924   3.7075  -0.8424  11.9598   7.8494  11.7185   0.4502   1.2140   0.9661   0.1631   0.0000  -0.1136  -0.3115    0.368
    16  23.3450   4.2708  -0.7732  11.6585   5.5431  10.8298   0.0416   1.1673   0.9289   0.0807   0.0000  -0.0789  -0.2712    0.335
    17  23.6484   4.7553  -0.7137  11.3993   5.7056  10.4110   0.0468   1.1492   0.9145   0.0725   0.0000  -0.0630  -0.2544    0.319
    18  23.9670   5.2641  -0.6513  11.1271   5.8372  10.1063   0.0517   1.1443   0.9106   0.0654   0.0000  -0.0523  -0.2443    0.307
    19  24.3002   5.7964  -0.5859  10.8424   5.9373   9.8548   0.0554   1.1465   0.9124   0.0592   0.0000  -0.0444  -0.2379    0.299
    20  24.6474   6.3509  -0.5178  10.5458   6.0058   9.6326   0.0576   1.1535   0.9179   0.0536   0.0000  -0.0383  -0.2338    0.292
    21  25.0079   6.9266  -0.4471  10.2379   6.0430   9.4275   0.0581   1.1642   0.9264   0.0485   0.0000  -0.0336  -0.2315    0.286
    22  25.3809   7.5223  -0.3740   9.9192   6.0490   9.2322   0.0566   1.1779   0.9373   0.0437   0.0000  -0.0300  -0.2306    0.282
    23  25.7657   8.1368  -0.2985   9.5905   6.0244   9.0420   0.0530   1.1943   0.9503   0.0391   0.0000  -0.0272  -0.2310    0.279
    24  26.1614   8.7690  -0.2209   9.2523   5.9700   8.8540   0.0467   1.2133   0.9655   0.0347   0.0000  -0.0253  -0.2325    0.276
    25  26.5674   9.4174  -0.1413   8.9055   5.8867   8.6647   0.0369   1.2346   0.9825   0.0306   0.0000  -0.0242  -0.2351    0.275
    26  27.0024  10.1168  -0.0685   8.6379   6.4402   8.4616   0.0291   1.3046   0.9900   0.0268   0.0000  -0.0189  -0.2304    0.269
    27  27.4662  10.8669  -0.0029   8.4530   6.4244   8.3081   0.0292   1.3098   0.9940   0.0231   0.0000  -0.0163  -0.2289    0.266
    28  27.9384  11.6306   0.0640   8.2648   6.3881   8.1567   0.0291   1.3160   0.9987   0.0199   0.0000  -0.0145  -0.2283    0.265
    29  28.4181  12.4065   0.1318   8.0736   6.3319   8.0054   0.0297   1.3229   1.0039   0.0171   0.0000  -0.0132  -0.2282    0.263
    30  28.9043  13.1928   0.2006   7.8797   6.2569   7.8528   0.0308   1.3302   1.0095   0.0145   0.0000  -0.0123  -0.2286    0.262
    31  29.3961  13.9881   0.2702   7.6837   6.1641   7.6977   0.0320   1.3378   1.0152   0.0122   0.0000  -0.0118  -0.2292    0.262
    32  29.8923  14.7908   0.3404   7.4858   6.0545   7.5395   0.0331   1.3455   1.0210   0.0100   0.0000  -0.0114  -0.2301    0.261
    33  30.3921  15.5992   0.4112   7.2866   5.9293   7.3778   0.0339   1.3531   1.0268   0.0080   0.0000  -0.0112  -0.2311    0.261
    34  30.8945  16.4116   0.4822   7.0863   5.7897   7.2123   0.0345   1.3605   1.0325   0.0062   0.0000  -0.0112  -0.2322    0.261
    35  31.3984  17.2266   0.5535   6.8855   5.6369   7.0427   0.0349   1.3677   1.0379   0.0044   0.0000  -0.0113  -0.2334    0.261
    36  31.9027  18.0423   0.6249   6.6844   5.4723   6.8690   0.0349   1.3745   1.0431   0.0028   0.0000  -0.0116  -0.2347    0.261
    37  32.4066  18.8573   0.6962   6.4835   5.2972   6.6911   0.0346   1.3807   1.0478   0.0013   0.0000  -0.0121  -0.2361    0.262
    38  32.9089  19.6698   0.7673   6.2832   5.1129   6.5095   0.0339   1.3864   1.0521   0.0002   0.0000  -0.0130  -0.2377    0.262
    39  33.4087  20.4781   0.8380   6.0840   4.9207   6.3249   0.0330   1.3912   1.0558  -0.0003   0.0000  -0.0147  -0.2399    0.264
    40  33.9050  21.2808   0.9082   5.8861   4.7221   6.1385   0.0319   1.3953   1.0589   0.0011   0.0000  -0.0178  -0.2433    0.267
    41  34.3967  22.0761   0.9778   5.6901   4.5183   5.9532   0.0308   1.3977   1.0607   0.0100   0.0000  -0.0243  -0.2495    0.273
    42  34.7955  22.7211   1.0342   5.5311   2.7734   5.7942   0.0301   1.4136   1.0728  -0.0504   0.0000  -0.0451  -0.2674    0.292
    43  35.1799  23.3428   1.0886   5.3779   4.0090   5.6386   0.0296   1.4093   1.0695  -0.0267   0.0000  -0.0519  -0.2733    0.299
    44  35.6353  24.0794   1.1531   5.1963   3.8090   5.4625   0.0292   1.4115   1.0711  -0.0203   0.0000  -0.0546  -0.2762    0.301
    45  36.0826  24.8028   1.2163   5.0180   3.6083   5.2869   0.0292   1.4142   1.0732  -0.0183   0.0000  -0.0558  -0.2777    0.302
    46  36.5209  25.5117   1.2784   4.8433   3.4082   5.1128   0.0294   1.4168   1.0752  -0.0178   0.0000  -0.0563  -0.2786    0.302
    47  36.9492  26.2045   1.3390   4.6725   3.2096   4.9404   0.0300   1.4191   1.0769  -0.0178   0.0000  -0.0564  -0.2790    0.302
    48  37.3668  26.8799   1.3981   4.5060   3.0133   4.7697   0.0308   1.4208   1.0782  -0.0182   0.0000  -0.0563  -0.2792    0.302
    49  37.7728  27.5366   1.4555   4.3442   2.8202   4.6004   0.0321   1.4215   1.0787  -0.0187   0.0000  -0.0559  -0.2790    0.302
