 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00399     Clsurf  =   0.00447
     CYsurf  =  -0.00031     Cmsurf  =  -0.01266
     CDsurf  =   0.00100     Cnsurf  =  -0.00002
     CDisurf =   0.00100     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.00785     CDsurf  =   0.00196

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    36  31.9027  18.0423   0.6249   6.6844   5.4723  -0.3100  -0.0056  -0.0604  -0.0464   0.0003   0.0000  -0.0156  -0.0035   -0.086
    37  32.4066  18.8573   0.6962   6.4835   5.2972  -0.3349  -0.0061  -0.0673  -0.0517   0.0004   0.0000  -0.0163  -0.0029   -0.065
    38  32.9089  19.6698   0.7673   6.2832   5.1129  -0.3592  -0.0069  -0.0745  -0.0572   0.0004   0.0000  -0.0174  -0.0027   -0.054
    39  33.4087  20.4781   0.8380   6.0840   4.9207  -0.3828  -0.0078  -0.0820  -0.0630   0.0004   0.0000  -0.0192  -0.0031   -0.056
    40  33.9050  21.2808   0.9082   5.8861   4.7221  -0.4050  -0.0088  -0.0897  -0.0688   0.0002   0.0000  -0.0226  -0.0047   -0.079
    41  34.3967  22.0761   0.9778   5.6901   4.5183  -0.4248  -0.0100  -0.0974  -0.0747  -0.0008   0.0000  -0.0295  -0.0094   -0.145
    42  34.7955  22.7211   1.0342   5.5311   2.7734  -0.4389  -0.0108  -0.1027  -0.0789   0.0159   0.0000  -0.0511  -0.0268   -0.399
    43  35.1799  23.3428   1.0886   5.3779   4.0090  -0.4506  -0.0112  -0.1090  -0.0837   0.0044   0.0000  -0.0581  -0.0319   -0.445
    44  35.6353  24.0794   1.1531   5.1963   3.8090  -0.4603  -0.0117  -0.1154  -0.0886   0.0015   0.0000  -0.0612  -0.0334   -0.440
    45  36.0826  24.8028   1.2163   5.0180   3.6083  -0.4666  -0.0120  -0.1212  -0.0930   0.0005   0.0000  -0.0626  -0.0337   -0.423
    46  36.5209  25.5117   1.2784   4.8433   3.4082  -0.4695  -0.0122  -0.1264  -0.0970   0.0001   0.0000  -0.0634  -0.0336   -0.404
    47  36.9492  26.2045   1.3390   4.6725   3.2096  -0.4694  -0.0123  -0.1310  -0.1005  -0.0001   0.0000  -0.0639  -0.0333   -0.386
    48  37.3668  26.8799   1.3981   4.5060   3.0133  -0.4665  -0.0124  -0.1350  -0.1036  -0.0003   0.0000  -0.0643  -0.0329   -0.370
    49  37.7728  27.5366   1.4555   4.3442   2.8202  -0.4610  -0.0126  -0.1384  -0.1062  -0.0004   0.0000  -0.0645  -0.0326   -0.358
    50  38.1664  28.1731   1.5112   4.1873   2.6312  -0.4531  -0.0127  -0.1411  -0.1083  -0.0005   0.0000  -0.0648  -0.0323   -0.348
    51  38.5467  28.7882   1.5650   4.0357   2.4467  -0.4429  -0.0128  -0.1431  -0.1098  -0.0006   0.0000  -0.0650  -0.0322   -0.342
    52  38.9130  29.3807   1.6168   3.8896   2.2675  -0.4304  -0.0130  -0.1443  -0.1107  -0.0007   0.0000  -0.0652  -0.0322   -0.339
    53  39.2646  29.9494   1.6666   3.7494   2.0939  -0.4156  -0.0132  -0.1445  -0.1109  -0.0008   0.0000  -0.0655  -0.0324   -0.340
    54  39.6008  30.4931   1.7142   3.6154   1.9264  -0.3982  -0.0134  -0.1436  -0.1102  -0.0009   0.0000  -0.0658  -0.0328   -0.347
    55  39.9208  31.0107   1.7595   3.4878   1.7654  -0.3781  -0.0134  -0.1414  -0.1085  -0.0011   0.0000  -0.0661  -0.0334   -0.359
    56  40.2241  31.5013   1.8024   3.3669   1.6109  -0.3552  -0.0131  -0.1376  -0.1056  -0.0012   0.0000  -0.0662  -0.0341   -0.377
    57  40.5101  31.9637   1.8428   3.2529   1.4631  -0.3293  -0.0125  -0.1321  -0.1014  -0.0015   0.0000  -0.0659  -0.0348   -0.400
    58  40.7780  32.3972   1.8807   3.1461   1.3219  -0.3009  -0.0113  -0.1248  -0.0958  -0.0019   0.0000  -0.0648  -0.0350   -0.426
    59  41.0275  32.8007   1.9161   3.0466   1.1875  -0.2707  -0.0095  -0.1160  -0.0890  -0.0026   0.0000  -0.0619  -0.0340   -0.446
    60  41.2443  33.1513   1.9467   2.9602   0.9321  -0.2407  -0.0070  -0.1062  -0.0815  -0.0041   0.0000  -0.0560  -0.0305   -0.437
    61  41.4296  33.4511   1.9730   2.8863   0.8279  -0.2127  -0.0044  -0.0964  -0.0740  -0.0061   0.0000  -0.0448  -0.0226   -0.356
    62  41.8525  33.7408   1.9984   2.6418   0.7761  -0.1864  -0.0027  -0.3174  -0.0709  -0.0073   0.0000  -0.0178  -0.0003   -0.001
    63  42.4709  34.0170   2.0225   2.2558   0.5879  -0.1615  -0.0022  -0.3213  -0.0717  -0.0028   0.0000  -0.0141   0.0014    0.054
    64  43.0147  34.2599   2.0438   1.9163   0.4349  -0.1386  -0.0026  -0.3245  -0.0725  -0.0022   0.0000  -0.0132   0.0018    0.067
