 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.16832     Clsurf  =  -0.02952
     CYsurf  =  -0.01314     Cmsurf  =  -0.63515
     CDsurf  =   0.00297     Cnsurf  =   0.00485
     CDisurf =   0.00297     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.33101     CDsurf  =   0.00582

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   4.1200  -0.0193   0.3305   0.3305   0.0100   0.0000  -0.0427  -0.1254    0.379
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   4.1200  -0.0193   0.3305   0.3305   0.0100   0.0000  -0.0427  -0.1254    0.379
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   4.1206  -0.0193   0.3306   0.3306   0.0098   0.0000  -0.0428  -0.1255    0.379
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   4.1226  -0.0194   0.3308   0.3308   0.0097   0.0000  -0.0429  -0.1256    0.380
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   4.1274  -0.0197   0.3311   0.3311   0.0096   0.0000  -0.0431  -0.1260    0.380
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   4.1369  -0.0201   0.3319   0.3319   0.0095   0.0000  -0.0436  -0.1267    0.382
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   4.1534  -0.0209   0.3332   0.3332   0.0095   0.0000  -0.0445  -0.1278    0.384
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   4.1804  -0.0220   0.3354   0.3354   0.0096   0.0000  -0.0459  -0.1298    0.387
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   4.2226  -0.0234   0.3388   0.3388   0.0097   0.0000  -0.0480  -0.1327    0.392
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   4.2871  -0.0250   0.3440   0.3440   0.0101   0.0000  -0.0511  -0.1371    0.399
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   4.3863  -0.0264   0.3519   0.3519   0.0106   0.0000  -0.0557  -0.1438    0.408
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   4.5450  -0.0270   0.3646   0.3646   0.0117   0.0000  -0.0629  -0.1541    0.423
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   4.8407  -0.0261   0.3882   0.3882   0.0166   0.0000  -0.0753  -0.1724    0.444
    14  22.5966   3.0754  -0.9200  12.2979   7.5875   5.5627   0.4001   0.5603   0.4503   0.0667   0.0000  -0.1050  -0.1857    0.483
    15  22.9924   3.7075  -0.8424  11.9598   7.8494   5.5259   0.4076   0.5726   0.4601   0.0632   0.0000  -0.1051  -0.1879    0.478
    16  23.3450   4.2708  -0.7732  11.6585   5.5431   4.6510  -0.0112   0.4963   0.3988   0.0094   0.0000  -0.0707  -0.1453    0.427
    17  23.6484   4.7553  -0.7137  11.3993   5.7056   4.2594  -0.0091   0.4649   0.3736   0.0085   0.0000  -0.0556  -0.1271    0.399
    18  23.9670   5.2641  -0.6513  11.1271   5.8372   3.9899  -0.0069   0.4462   0.3585   0.0073   0.0000  -0.0457  -0.1154    0.377
    19  24.3002   5.7964  -0.5859  10.8424   5.9373   3.7803  -0.0045   0.4339   0.3487   0.0062   0.0000  -0.0385  -0.1072    0.360
    20  24.6474   6.3509  -0.5178  10.5458   6.0058   3.6066  -0.0023   0.4256   0.3420   0.0052   0.0000  -0.0330  -0.1012    0.347
    21  25.0079   6.9266  -0.4471  10.2379   6.0430   3.4564  -0.0005   0.4202   0.3377   0.0044   0.0000  -0.0288  -0.0967    0.335
    22  25.3809   7.5223  -0.3740   9.9192   6.0490   3.3226   0.0010   0.4169   0.3350   0.0036   0.0000  -0.0256  -0.0934    0.326
    23  25.7657   8.1368  -0.2985   9.5905   6.0244   3.2005   0.0019   0.4154   0.3338   0.0028   0.0000  -0.0231  -0.0910    0.319
    24  26.1614   8.7690  -0.2209   9.2523   5.9700   3.0870   0.0020   0.4153   0.3338   0.0022   0.0000  -0.0212  -0.0893    0.313
    25  26.5674   9.4174  -0.1413   8.9055   5.8867   2.9799   0.0008   0.4166   0.3348   0.0016   0.0000  -0.0198  -0.0884    0.309
