 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =  -0.00181     Clsurf  =   0.00502
     CYsurf  =   0.00023     Cmsurf  =   0.00202
     CDsurf  =   0.00091     Cnsurf  =  -0.00019
     CDisurf =   0.00091     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =  -0.00357     CDsurf  =   0.00178

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0036  -0.9570  12.4590   0.1808   0.7129  -0.0829   0.0572   0.0572  -0.0014   0.0000  -0.0346  -0.0489    0.855
     2  22.4080   0.0327  -0.9570  12.4590   0.5422   0.7129  -0.0829   0.0572   0.0572  -0.0014   0.0000  -0.0346  -0.0489    0.855
     3  22.4080   0.0907  -0.9570  12.4590   0.9028   0.7133  -0.0829   0.0572   0.0572  -0.0014   0.0000  -0.0346  -0.0489    0.855
     4  22.4080   0.1775  -0.9570  12.4590   1.2619   0.7147  -0.0830   0.0573   0.0573  -0.0014   0.0000  -0.0347  -0.0490    0.855
     5  22.4080   0.2932  -0.9570  12.4590   1.6191   0.7179  -0.0833   0.0576   0.0576  -0.0013   0.0000  -0.0348  -0.0492    0.855
     6  22.4080   0.4374  -0.9570  12.4590   1.9739   0.7242  -0.0838   0.0581   0.0581  -0.0013   0.0000  -0.0351  -0.0497    0.854
     7  22.4080   0.6100  -0.9570  12.4590   2.3255   0.7353  -0.0845   0.0590   0.0590  -0.0013   0.0000  -0.0356  -0.0504    0.854
     8  22.4080   0.8106  -0.9570  12.4590   2.6736   0.7532  -0.0856   0.0604   0.0604  -0.0013   0.0000  -0.0364  -0.0515    0.852
     9  22.4080   1.0391  -0.9570  12.4590   3.0176   0.7808  -0.0869   0.0627   0.0627  -0.0014   0.0000  -0.0376  -0.0532    0.849
    10  22.4080   1.2949  -0.9570  12.4590   3.3569   0.8220  -0.0879   0.0660   0.0660  -0.0014   0.0000  -0.0393  -0.0558    0.845
    11  22.4080   1.5778  -0.9570  12.4590   3.6910   0.8827  -0.0878   0.0708   0.0708  -0.0015   0.0000  -0.0418  -0.0595    0.839
    12  22.4080   1.8873  -0.9570  12.4590   4.0195   0.9729  -0.0856   0.0781   0.0781  -0.0016   0.0000  -0.0454  -0.0649    0.831
    13  22.4080   2.2230  -0.9570  12.4590   4.3417   1.1118  -0.0798   0.0892   0.0892  -0.0016   0.0000  -0.0509  -0.0732    0.821
    14  22.4080   2.5842  -0.9570  12.4590   4.6573   1.3516  -0.0691   0.1085   0.1085  -0.0010   0.0000  -0.0603  -0.0874    0.806
    15  22.4974   2.9170  -0.9395  12.3826   3.6189   1.9207   0.3630   0.1930   0.1564   0.0349   0.0000  -0.0827  -0.1031    0.779
    16  22.6846   3.2159  -0.9028  12.2227   3.7885   2.0954   0.3765   0.2132   0.1728   0.0352   0.0000  -0.0904  -0.1131    0.773
    17  22.8826   3.5322  -0.8639  12.0536   3.9437   2.0983   0.3863   0.2164   0.1754   0.0339   0.0000  -0.0913  -0.1144    0.770
    18  23.0912   3.8653  -0.8230  11.8754   4.0839   1.9016   0.3909   0.1990   0.1612   0.0294   0.0000  -0.0842  -0.1054    0.772
    19  23.3498   4.2783  -0.7723  11.6545   5.7066   1.2120  -0.0319   0.1283   0.1040  -0.0027   0.0000  -0.0568  -0.0702    0.796
    20  23.6607   4.7750  -0.7113  11.3888   5.8186   0.8954  -0.0318   0.0970   0.0786  -0.0017   0.0000  -0.0446  -0.0545    0.817
    21  23.9847   5.2923  -0.6478  11.1120   5.9047   0.6831  -0.0311   0.0759   0.0615  -0.0013   0.0000  -0.0366  -0.0442    0.846
    22  24.3210   5.8296  -0.5818  10.8247   5.9646   0.5241  -0.0298   0.0597   0.0484  -0.0010   0.0000  -0.0310  -0.0366    0.890
    23  24.6694   6.3859  -0.5135  10.5270   5.9985   0.3983  -0.0280   0.0467   0.0378  -0.0008   0.0000  -0.0267  -0.0307    0.957
    24  25.0291   6.9605  -0.4430  10.2197   6.0065   0.2951  -0.0258   0.0356   0.0289  -0.0007   0.0000  -0.0235  -0.0261    1.063
    25  25.3998   7.5524  -0.3703   9.9031   5.9889   0.2084  -0.0233   0.0260   0.0210  -0.0005   0.0000  -0.0209  -0.0223    1.245
    26  25.7806   8.1608  -0.2956   9.5777   5.9462   0.1343  -0.0206   0.0173   0.0140  -0.0004   0.0000  -0.0190  -0.0191    1.602
    27  26.1712   8.7846  -0.2190   9.2440   5.8788   0.0701  -0.0176   0.0093   0.0076  -0.0003   0.0000  -0.0174  -0.0164  999.000
    28  26.5709   9.4230  -0.1406   8.9025   5.7875   0.0137  -0.0148   0.0019   0.0015  -0.0002   0.0000  -0.0162  -0.0141  999.000
    29  26.9647  10.0557  -0.0738   8.6530   5.3824  -0.0339  -0.0117  -0.0051  -0.0039  -0.0001   0.0000  -0.0152  -0.0122  999.000
    30  27.3514  10.6811  -0.0191   8.4988   5.3831  -0.0729  -0.0085  -0.0112  -0.0086  -0.0001   0.0000  -0.0145  -0.0106  999.000
    31  27.7448  11.3174   0.0366   8.3420   5.3704  -0.1079  -0.0064  -0.0169  -0.0129   0.0000   0.0000  -0.0141  -0.0093   -0.839
    32  28.1443  11.9635   0.0931   8.1827   5.3448  -0.1396  -0.0052  -0.0222  -0.0171   0.0001   0.0000  -0.0138  -0.0082   -0.559
    33  28.5492  12.6185   0.1504   8.0213   5.3066  -0.1685  -0.0045  -0.0274  -0.0210   0.0001   0.0000  -0.0137  -0.0072   -0.400
    34  28.9591  13.2814   0.2084   7.8579   5.2564  -0.1951  -0.0041  -0.0324  -0.0248   0.0001   0.0000  -0.0136  -0.0064   -0.298
    35  29.3731  13.9510   0.2670   7.6928   5.1948  -0.2198  -0.0040  -0.0372  -0.0286   0.0002   0.0000  -0.0136  -0.0056   -0.228
    36  29.7907  14.6265   0.3261   7.5263   5.1222  -0.2427  -0.0040  -0.0420  -0.0323   0.0002   0.0000  -0.0138  -0.0049   -0.176
    37  30.2113  15.3067   0.3856   7.3587   5.0393  -0.2642  -0.0041  -0.0468  -0.0359   0.0002   0.0000  -0.0139  -0.0043   -0.138
    38  30.6342  15.9907   0.4454   7.1901   4.9468  -0.2845  -0.0042  -0.0516  -0.0396   0.0003   0.0000  -0.0141  -0.0037   -0.107
    39  31.0587  16.6772   0.5055   7.0209   4.8453  -0.3040  -0.0043  -0.0564  -0.0433   0.0003   0.0000  -0.0144  -0.0031   -0.082
    40  31.4842  17.3654   0.5657   6.8512   4.7356  -0.3229  -0.0045  -0.0614  -0.0471   0.0003   0.0000  -0.0147  -0.0026   -0.062
    41  31.9100  18.0541   0.6259   6.6815   4.6182  -0.3413  -0.0048  -0.0666  -0.0511   0.0003   0.0000  -0.0151  -0.0021   -0.046
    42  32.3355  18.7423   0.6861   6.5119   4.4941  -0.3596  -0.0052  -0.0720  -0.0552   0.0003   0.0000  -0.0157  -0.0017   -0.034
    43  32.7600  19.4289   0.7462   6.3426   4.3638  -0.3777  -0.0058  -0.0776  -0.0596   0.0003   0.0000  -0.0165  -0.0015   -0.027
    44  33.1829  20.1128   0.8060   6.1740   4.2281  -0.3957  -0.0066  -0.0835  -0.0641   0.0003   0.0000  -0.0178  -0.0016   -0.027
    45  33.6034  20.7930   0.8655   6.0064   4.0877  -0.4131  -0.0074  -0.0897  -0.0688   0.0003   0.0000  -0.0198  -0.0023   -0.038
    46  34.0211  21.4685   0.9246   5.8399   3.9435  -0.4295  -0.0084  -0.0959  -0.0736   0.0000   0.0000  -0.0233  -0.0043   -0.066
    47  34.4351  22.1382   0.9832   5.6748   3.7961  -0.4442  -0.0093  -0.1021  -0.0784  -0.0012   0.0000  -0.0300  -0.0090   -0.132
    48  34.7955  22.7210   1.0342   5.5312   2.7734  -0.4554  -0.0101  -0.1067  -0.0819   0.0151   0.0000  -0.0503  -0.0255   -0.365
    49  35.1476  23.2905   1.0840   5.3908   3.4568  -0.4646  -0.0105  -0.1122  -0.0861   0.0047   0.0000  -0.0566  -0.0300   -0.407
    50  35.5398  23.9248   1.1395   5.2344   3.3083  -0.4721  -0.0110  -0.1175  -0.0902   0.0017   0.0000  -0.0594  -0.0316   -0.408
    51  35.9260  24.5495   1.1942   5.0805   3.1592  -0.4770  -0.0113  -0.1224  -0.0939   0.0007   0.0000  -0.0608  -0.0320   -0.398
    52  36.3056  25.1635   1.2479   4.9291   3.0101  -0.4794  -0.0115  -0.1268  -0.0973   0.0002   0.0000  -0.0617  -0.0320   -0.384
    53  36.6781  25.7659   1.3006   4.7806   2.8615  -0.4796  -0.0116  -0.1308  -0.1004  -0.0001   0.0000  -0.0622  -0.0318   -0.370
    54  37.0428  26.3559   1.3522   4.6352   2.7141  -0.4777  -0.0117  -0.1344  -0.1031  -0.0002   0.0000  -0.0626  -0.0315   -0.356
    55  37.3992  26.9323   1.4027   4.4931   2.5684  -0.4739  -0.0118  -0.1375  -0.1056  -0.0004   0.0000  -0.0628  -0.0313   -0.345
    56  37.7468  27.4945   1.4518   4.3545   2.4247  -0.4683  -0.0119  -0.1402  -0.1076  -0.0005   0.0000  -0.0630  -0.0310   -0.335
    57  38.0850  28.0415   1.4997   4.2197   2.2835  -0.4611  -0.0120  -0.1425  -0.1094  -0.0005   0.0000  -0.0632  -0.0308   -0.328
    58  38.4133  28.5725   1.5461   4.0888   2.1452  -0.4523  -0.0122  -0.1442  -0.1107  -0.0006   0.0000  -0.0634  -0.0306   -0.322
    59  38.7312  29.0866   1.5911   3.9621   2.0101  -0.4419  -0.0123  -0.1454  -0.1116  -0.0007   0.0000  -0.0636  -0.0306   -0.319
    60  39.0382  29.5831   1.6346   3.8397   1.8786  -0.4299  -0.0125  -0.1460  -0.1121  -0.0008   0.0000  -0.0638  -0.0307   -0.319
    61  39.3338  30.0612   1.6764   3.7219   1.7508  -0.4163  -0.0127  -0.1459  -0.1119  -0.0009   0.0000  -0.0640  -0.0309   -0.322
    62  39.6175  30.5202   1.7165   3.6087   1.6269  -0.4009  -0.0129  -0.1449  -0.1112  -0.0010   0.0000  -0.0642  -0.0313   -0.328
    63  39.8890  30.9593   1.7550   3.5005   1.5072  -0.3836  -0.0129  -0.1429  -0.1097  -0.0011   0.0000  -0.0645  -0.0318   -0.338
    64  40.1478  31.3779   1.7916   3.3973   1.3917  -0.3644  -0.0128  -0.1399  -0.1074  -0.0012   0.0000  -0.0646  -0.0324   -0.352
