 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.36693     Clsurf  =  -0.07052
     CYsurf  =  -0.01960     Cmsurf  =  -0.08331
     CDsurf  =   0.01008     Cnsurf  =  -0.00895
     CDisurf =   0.01008     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.72009     CDsurf  =   0.01976

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0036  -0.9570  12.4590   0.1808   7.8529   0.0783   0.6294   0.6294   0.0460   0.0000  -0.0427  -0.2003    0.318
     2  22.4080   0.0327  -0.9570  12.4590   0.5422   7.8530   0.0783   0.6294   0.6294   0.0459   0.0000  -0.0427  -0.2003    0.318
     3  22.4080   0.0907  -0.9570  12.4590   0.9028   7.8533   0.0783   0.6295   0.6295   0.0457   0.0000  -0.0428  -0.2003    0.318
     4  22.4080   0.1775  -0.9570  12.4590   1.2619   7.8545   0.0782   0.6296   0.6296   0.0454   0.0000  -0.0428  -0.2004    0.318
     5  22.4080   0.2932  -0.9570  12.4590   1.6191   7.8573   0.0782   0.6298   0.6298   0.0452   0.0000  -0.0430  -0.2007    0.318
     6  22.4080   0.4374  -0.9570  12.4590   1.9739   7.8627   0.0781   0.6303   0.6303   0.0450   0.0000  -0.0434  -0.2012    0.319
     7  22.4080   0.6100  -0.9570  12.4590   2.3255   7.8723   0.0780   0.6311   0.6311   0.0450   0.0000  -0.0441  -0.2020    0.320
     8  22.4080   0.8106  -0.9570  12.4590   2.6736   7.8878   0.0777   0.6323   0.6323   0.0452   0.0000  -0.0451  -0.2034    0.321
     9  22.4080   1.0391  -0.9570  12.4590   3.0176   7.9119   0.0771   0.6342   0.6342   0.0457   0.0000  -0.0466  -0.2054    0.324
    10  22.4080   1.2949  -0.9570  12.4590   3.3569   7.9482   0.0755   0.6370   0.6370   0.0465   0.0000  -0.0489  -0.2084    0.327
    11  22.4080   1.5778  -0.9570  12.4590   3.6910   8.0025   0.0724   0.6413   0.6413   0.0478   0.0000  -0.0521  -0.2127    0.331
    12  22.4080   1.8873  -0.9570  12.4590   4.0195   8.0849   0.0667   0.6477   0.6477   0.0500   0.0000  -0.0568  -0.2190    0.338
    13  22.4080   2.2230  -0.9570  12.4590   4.3417   8.2174   0.0577   0.6579   0.6579   0.0542   0.0000  -0.0637  -0.2285    0.347
    14  22.4080   2.5842  -0.9570  12.4590   4.6573   8.4904   0.0451   0.6778   0.6778   0.0715   0.0000  -0.0748  -0.2452    0.360
    15  22.4974   2.9170  -0.9395  12.3826   3.6189   9.0611   0.4541   0.9035   0.7208   0.1338   0.0000  -0.0971  -0.2413    0.385
    16  22.6846   3.2159  -0.9028  12.2227   3.7885   9.1323   0.4455   0.9254   0.7383   0.1180   0.0000  -0.1032  -0.2498    0.390
    17  22.8826   3.5322  -0.8639  12.0536   3.9437   9.1030   0.4404   0.9363   0.7470   0.1132   0.0000  -0.1028  -0.2513    0.388
    18  23.0912   3.8653  -0.8230  11.8754   4.0839   8.8827   0.4400   0.9286   0.7408   0.1040   0.0000  -0.0945  -0.2428    0.378
    19  23.3498   4.2783  -0.7723  11.6545   5.7066   8.1755   0.0260   0.8790   0.7013   0.0441   0.0000  -0.0665  -0.2090    0.345
    20  23.6607   4.7750  -0.7113  11.3888   5.8186   7.8250   0.0299   0.8616   0.6874   0.0394   0.0000  -0.0533  -0.1948    0.328
    21  23.9847   5.2923  -0.6478  11.1120   5.9047   7.5713   0.0336   0.8550   0.6821   0.0353   0.0000  -0.0444  -0.1861    0.315
    22  24.3210   5.8296  -0.5818  10.8247   5.9646   7.3641   0.0364   0.8542   0.6815   0.0317   0.0000  -0.0379  -0.1804    0.306
    23  24.6694   6.3859  -0.5135  10.5270   5.9985   7.1834   0.0382   0.8573   0.6839   0.0285   0.0000  -0.0330  -0.1766    0.298
