 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00663     Clsurf  =   0.00449
     CYsurf  =  -0.00053     Cmsurf  =  -0.02451
     CDsurf  =   0.00109     Cnsurf  =   0.00009
     CDisurf =   0.00109     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.01304     CDsurf  =   0.00213

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    36  31.9027  18.0423   0.6249   6.6844   5.4723  -0.3164  -0.0064  -0.0617  -0.0473   0.0004   0.0000  -0.0187  -0.0060   -0.146
    37  32.4066  18.8573   0.6962   6.4835   5.2972  -0.3467  -0.0072  -0.0697  -0.0535   0.0005   0.0000  -0.0197  -0.0055   -0.119
    38  32.9089  19.6698   0.7673   6.2832   5.1129  -0.3756  -0.0081  -0.0779  -0.0598   0.0005   0.0000  -0.0213  -0.0055   -0.107
    39  33.4087  20.4781   0.8380   6.0840   4.9207  -0.4026  -0.0091  -0.0863  -0.0662   0.0005   0.0000  -0.0240  -0.0064   -0.112
    40  33.9050  21.2808   0.9082   5.8861   4.7221  -0.4272  -0.0101  -0.0946  -0.0726   0.0004   0.0000  -0.0284  -0.0089   -0.142
    41  34.3967  22.0761   0.9778   5.6901   4.5183  -0.4485  -0.0111  -0.1028  -0.0789  -0.0006   0.0000  -0.0367  -0.0147   -0.216
    42  34.7955  22.7211   1.0342   5.5311   2.7734  -0.4636  -0.0117  -0.1082  -0.0831   0.0232   0.0000  -0.0601  -0.0336   -0.474
    43  35.1799  23.3428   1.0886   5.3779   4.0090  -0.4761  -0.0122  -0.1151  -0.0883   0.0069   0.0000  -0.0683  -0.0395   -0.523
    44  35.6353  24.0794   1.1531   5.1963   3.8090  -0.4867  -0.0126  -0.1220  -0.0936   0.0022   0.0000  -0.0719  -0.0415   -0.518
    45  36.0826  24.8028   1.2163   5.0180   3.6083  -0.4939  -0.0129  -0.1283  -0.0985   0.0006   0.0000  -0.0738  -0.0421   -0.500
