 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.17079     Clsurf  =  -0.03001
     CYsurf  =  -0.01334     Cmsurf  =  -0.64484
     CDsurf  =   0.00303     Cnsurf  =   0.00492
     CDisurf =   0.00303     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.33587     CDsurf  =   0.00594

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   4.1729  -0.0190   0.3348   0.3348   0.0103   0.0000  -0.0439  -0.1276    0.381
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   4.1730  -0.0190   0.3348   0.3348   0.0102   0.0000  -0.0439  -0.1277    0.381
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   4.1736  -0.0191   0.3348   0.3348   0.0101   0.0000  -0.0440  -0.1277    0.381
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   4.1756  -0.0192   0.3350   0.3350   0.0100   0.0000  -0.0441  -0.1279    0.382
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   4.1804  -0.0194   0.3354   0.3354   0.0099   0.0000  -0.0443  -0.1282    0.382
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   4.1899  -0.0199   0.3362   0.3362   0.0098   0.0000  -0.0448  -0.1289    0.383
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   4.2065  -0.0206   0.3375   0.3375   0.0098   0.0000  -0.0457  -0.1301    0.385
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   4.2335  -0.0217   0.3397   0.3397   0.0099   0.0000  -0.0471  -0.1320    0.389
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   4.2758  -0.0231   0.3430   0.3430   0.0100   0.0000  -0.0492  -0.1350    0.393
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   4.3405  -0.0246   0.3482   0.3482   0.0103   0.0000  -0.0523  -0.1394    0.400
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   4.4398  -0.0260   0.3562   0.3562   0.0109   0.0000  -0.0570  -0.1461    0.410
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   4.5988  -0.0266   0.3689   0.3689   0.0119   0.0000  -0.0642  -0.1565    0.424
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   4.8957  -0.0256   0.3926   0.3926   0.0171   0.0000  -0.0766  -0.1748    0.445
    14  22.5966   3.0754  -0.9200  12.2979   7.5875   5.6170   0.4008   0.5658   0.4547   0.0677   0.0000  -0.1063  -0.1878    0.484
    15  22.9924   3.7075  -0.8424  11.9598   7.8494   5.5792   0.4083   0.5781   0.4646   0.0640   0.0000  -0.1063  -0.1899    0.479
    16  23.3450   4.2708  -0.7732  11.6585   5.5431   4.7034  -0.0105   0.5019   0.4033   0.0096   0.0000  -0.0719  -0.1473    0.428
    17  23.6484   4.7553  -0.7137  11.3993   5.7056   4.3110  -0.0085   0.4705   0.3781   0.0087   0.0000  -0.0567  -0.1290    0.400
    18  23.9670   5.2641  -0.6513  11.1271   5.8372   4.0405  -0.0064   0.4518   0.3631   0.0075   0.0000  -0.0467  -0.1173    0.379
    19  24.3002   5.7964  -0.5859  10.8424   5.9373   3.8298  -0.0041   0.4395   0.3532   0.0064   0.0000  -0.0395  -0.1090    0.362
    20  24.6474   6.3509  -0.5178  10.5458   6.0058   3.6549  -0.0020   0.4313   0.3466   0.0054   0.0000  -0.0340  -0.1029    0.348
    21  25.0079   6.9266  -0.4471  10.2379   6.0430   3.5037  -0.0002   0.4259   0.3423   0.0046   0.0000  -0.0297  -0.0984    0.337
    22  25.3809   7.5223  -0.3740   9.9192   6.0490   3.3689   0.0012   0.4227   0.3397   0.0037   0.0000  -0.0264  -0.0950    0.328
    23  25.7657   8.1368  -0.2985   9.5905   6.0244   3.2457   0.0021   0.4213   0.3385   0.0030   0.0000  -0.0238  -0.0926    0.320
    24  26.1614   8.7690  -0.2209   9.2523   5.9700   3.1312   0.0022   0.4213   0.3385   0.0023   0.0000  -0.0218  -0.0909    0.314
    25  26.5674   9.4174  -0.1413   8.9055   5.8867   3.0231   0.0010   0.4226   0.3396   0.0017   0.0000  -0.0204  -0.0899    0.310
    26  27.0024  10.1168  -0.0685   8.6379   6.4402   2.9216   0.0010   0.4439   0.3384   0.0012   0.0000  -0.0185  -0.0881    0.305
    27  27.4662  10.8669  -0.0029   8.4530   6.4244   2.8331   0.0036   0.4399   0.3353   0.0007   0.0000  -0.0170  -0.0862    0.301
    28  27.9384  11.6306   0.0640   8.2648   6.3881   2.7498   0.0052   0.4367   0.3329   0.0002   0.0000  -0.0160  -0.0848    0.298
    29  28.4181  12.4065   0.1318   8.0736   6.3319   2.6699   0.0062   0.4341   0.3309  -0.0001   0.0000  -0.0153  -0.0838    0.296
    30  28.9043  13.1928   0.2006   7.8797   6.2569   2.5923   0.0069   0.4319   0.3292  -0.0003   0.0000  -0.0149  -0.0831    0.295
    31  29.3961  13.9881   0.2702   7.6837   6.1641   2.5162   0.0075   0.4299   0.3277  -0.0006   0.0000  -0.0147  -0.0826    0.295
    32  29.8923  14.7908   0.3404   7.4858   6.0545   2.4410   0.0078   0.4281   0.3263  -0.0007   0.0000  -0.0147  -0.0823    0.295
    33  30.3921  15.5992   0.4112   7.2866   5.9293   2.3661   0.0081   0.4263   0.3249  -0.0009   0.0000  -0.0147  -0.0820    0.295
    34  30.8945  16.4116   0.4822   7.0863   5.7897   2.2911   0.0082   0.4244   0.3235  -0.0010   0.0000  -0.0149  -0.0819    0.296
    35  31.3984  17.2266   0.5535   6.8855   5.6369   2.2157   0.0081   0.4224   0.3220  -0.0011   0.0000  -0.0152  -0.0818    0.297
    36  31.9027  18.0423   0.6249   6.6844   5.4723   2.1394   0.0079   0.4202   0.3203  -0.0012   0.0000  -0.0156  -0.0818    0.299
    37  32.4066  18.8573   0.6962   6.4835   5.2972   2.0622   0.0075   0.4176   0.3183  -0.0012   0.0000  -0.0163  -0.0819    0.301
    38  32.9089  19.6698   0.7673   6.2832   5.1129   1.9840   0.0068   0.4145   0.3160  -0.0011   0.0000  -0.0173  -0.0823    0.305
    39  33.4087  20.4781   0.8380   6.0840   4.9207   1.9052   0.0059   0.4111   0.3134  -0.0008   0.0000  -0.0192  -0.0833    0.311
    40  33.9050  21.2808   0.9082   5.8861   4.7221   1.8268   0.0048   0.4074   0.3105   0.0000   0.0000  -0.0225  -0.0856    0.323
    41  34.3967  22.0761   0.9778   5.6901   4.5183   1.7503   0.0037   0.4036   0.3077   0.0029   0.0000  -0.0294  -0.0908    0.345
    42  34.7955  22.7211   1.0342   5.5311   2.7734   1.6866   0.0029   0.4005   0.3053  -0.0063   0.0000  -0.0509  -0.1086    0.417
    43  35.1799  23.3428   1.0886   5.3779   4.0090   1.6257   0.0024   0.3971   0.3027  -0.0056   0.0000  -0.0579  -0.1139    0.441
    44  35.6353  24.0794   1.1531   5.1963   3.8090   1.5591   0.0020   0.3941   0.3004  -0.0049   0.0000  -0.0609  -0.1160    0.453
    45  36.0826  24.8028   1.2163   5.0180   3.6083   1.4950   0.0017   0.3913   0.2983  -0.0044   0.0000  -0.0623  -0.1167    0.459
    46  36.5209  25.5117   1.2784   4.8433   3.4082   1.4336   0.0017   0.3887   0.2963  -0.0041   0.0000  -0.0630  -0.1169    0.463
    47  36.9492  26.2045   1.3390   4.6725   3.2096   1.3748   0.0018   0.3864   0.2945  -0.0039   0.0000  -0.0634  -0.1168    0.465
    48  37.3668  26.8799   1.3981   4.5060   3.0133   1.3185   0.0020   0.3842   0.2929  -0.0038   0.0000  -0.0635  -0.1166    0.467
    49  37.7728  27.5366   1.4555   4.3442   2.8202   1.2643   0.0023   0.3822   0.2913  -0.0037   0.0000  -0.0636  -0.1164    0.468
