 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =  -0.00177     Clsurf  =   0.00504
     CYsurf  =   0.00023     Cmsurf  =   0.00196
     CDsurf  =   0.00091     Cnsurf  =  -0.00019
     CDisurf =   0.00091     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =  -0.00349     CDsurf  =   0.00178

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    36  29.7907  14.6265   0.3261   7.5263   5.1222  -0.2427  -0.0040  -0.0420  -0.0323   0.0002   0.0000  -0.0139  -0.0050   -0.180
    37  30.2113  15.3067   0.3856   7.3587   5.0393  -0.2645  -0.0041  -0.0468  -0.0360   0.0002   0.0000  -0.0140  -0.0044   -0.140
    38  30.6342  15.9907   0.4454   7.1901   4.9468  -0.2850  -0.0042  -0.0517  -0.0397   0.0003   0.0000  -0.0142  -0.0038   -0.109
    39  31.0587  16.6772   0.5055   7.0209   4.8453  -0.3047  -0.0043  -0.0566  -0.0434   0.0003   0.0000  -0.0145  -0.0032   -0.084
    40  31.4842  17.3654   0.5657   6.8512   4.7356  -0.3237  -0.0046  -0.0616  -0.0473   0.0003   0.0000  -0.0148  -0.0027   -0.064
    41  31.9100  18.0541   0.6259   6.6815   4.6182  -0.3424  -0.0049  -0.0668  -0.0513   0.0003   0.0000  -0.0153  -0.0022   -0.048
    42  32.3355  18.7423   0.6861   6.5119   4.4941  -0.3609  -0.0053  -0.0722  -0.0554   0.0003   0.0000  -0.0158  -0.0018   -0.036
    43  32.7600  19.4289   0.7462   6.3426   4.3638  -0.3792  -0.0059  -0.0779  -0.0598   0.0004   0.0000  -0.0167  -0.0016   -0.029
    44  33.1829  20.1128   0.8060   6.1740   4.2281  -0.3972  -0.0066  -0.0839  -0.0644   0.0003   0.0000  -0.0179  -0.0017   -0.028
    45  33.6034  20.7930   0.8655   6.0064   4.0877  -0.4147  -0.0075  -0.0900  -0.0691   0.0003   0.0000  -0.0200  -0.0024   -0.039
    46  34.0211  21.4685   0.9246   5.8399   3.9435  -0.4312  -0.0084  -0.0963  -0.0739   0.0000   0.0000  -0.0235  -0.0044   -0.068
    47  34.4351  22.1382   0.9832   5.6748   3.7961  -0.4459  -0.0094  -0.1025  -0.0787  -0.0012   0.0000  -0.0303  -0.0092   -0.135
    48  34.7955  22.7210   1.0342   5.5312   2.7734  -0.4572  -0.0101  -0.1071  -0.0822   0.0154   0.0000  -0.0507  -0.0257   -0.367
    49  35.1476  23.2905   1.0840   5.3908   3.4568  -0.4664  -0.0106  -0.1126  -0.0864   0.0048   0.0000  -0.0570  -0.0303   -0.409
    50  35.5398  23.9248   1.1395   5.2344   3.3083  -0.4738  -0.0110  -0.1179  -0.0905   0.0018   0.0000  -0.0598  -0.0319   -0.411
    51  35.9260  24.5495   1.1942   5.0805   3.1592  -0.4787  -0.0113  -0.1228  -0.0943   0.0007   0.0000  -0.0613  -0.0323   -0.400
    52  36.3056  25.1635   1.2479   4.9291   3.0101  -0.4812  -0.0115  -0.1273  -0.0977   0.0002   0.0000  -0.0621  -0.0323   -0.386
    53  36.6781  25.7659   1.3006   4.7806   2.8615  -0.4815  -0.0117  -0.1313  -0.1008  -0.0001   0.0000  -0.0627  -0.0321   -0.372
    54  37.0428  26.3559   1.3522   4.6352   2.7141  -0.4796  -0.0118  -0.1349  -0.1035  -0.0003   0.0000  -0.0630  -0.0319   -0.359
    55  37.3992  26.9323   1.4027   4.4931   2.5684  -0.4758  -0.0119  -0.1381  -0.1060  -0.0004   0.0000  -0.0633  -0.0316   -0.347
    56  37.7468  27.4945   1.4518   4.3545   2.4247  -0.4702  -0.0120  -0.1408  -0.1081  -0.0005   0.0000  -0.0635  -0.0313   -0.338
    57  38.0850  28.0415   1.4997   4.2197   2.2835  -0.4629  -0.0121  -0.1431  -0.1098  -0.0006   0.0000  -0.0637  -0.0311   -0.330
    58  38.4133  28.5725   1.5461   4.0888   2.1452  -0.4541  -0.0122  -0.1448  -0.1111  -0.0006   0.0000  -0.0639  -0.0310   -0.325
    59  38.7312  29.0866   1.5911   3.9621   2.0101  -0.4436  -0.0124  -0.1460  -0.1121  -0.0007   0.0000  -0.0641  -0.0310   -0.322
    60  39.0382  29.5831   1.6346   3.8397   1.8786  -0.4316  -0.0126  -0.1466  -0.1125  -0.0008   0.0000  -0.0643  -0.0310   -0.321
    61  39.3338  30.0612   1.6764   3.7219   1.7508  -0.4179  -0.0128  -0.1464  -0.1124  -0.0009   0.0000  -0.0645  -0.0313   -0.324
    62  39.6175  30.5202   1.7165   3.6087   1.6269  -0.4024  -0.0129  -0.1454  -0.1116  -0.0010   0.0000  -0.0648  -0.0316   -0.330
    63  39.8890  30.9593   1.7550   3.5005   1.5072  -0.3851  -0.0130  -0.1435  -0.1101  -0.0011   0.0000  -0.0650  -0.0322   -0.340
    64  40.1478  31.3779   1.7916   3.3973   1.3917  -0.3657  -0.0128  -0.1404  -0.1078  -0.0013   0.0000  -0.0651  -0.0328   -0.355
    65  40.3935  31.7753   1.8263   3.2994   1.2804  -0.3444  -0.0124  -0.1361  -0.1045  -0.0014   0.0000  -0.0651  -0.0334   -0.373
    66  40.6258  32.1509   1.8592   3.2068   1.1734  -0.3211  -0.0117  -0.1306  -0.1003  -0.0017   0.0000  -0.0646  -0.0339   -0.394
    67  40.8442  32.5042   1.8901   3.1197   1.0707  -0.2963  -0.0106  -0.1239  -0.0951  -0.0021   0.0000  -0.0633  -0.0339   -0.415
    68  41.0485  32.8346   1.9190   3.0383   0.9721  -0.2702  -0.0090  -0.1161  -0.0891  -0.0028   0.0000  -0.0605  -0.0328   -0.429
    69  41.2438  33.1504   1.9467   2.9604   0.9286  -0.2429  -0.0067  -0.1072  -0.0822  -0.0038   0.0000  -0.0552  -0.0297   -0.421
    70  41.4291  33.4502   1.9729   2.8866   0.8314  -0.2156  -0.0041  -0.0976  -0.0749  -0.0055   0.0000  -0.0445  -0.0221   -0.344
    71  41.8199  33.7262   1.9971   2.6622   0.7082  -0.1905  -0.0024  -0.3219  -0.0719  -0.0085   0.0000  -0.0183  -0.0004   -0.004
    72  42.3833  33.9779   2.0191   2.3104   0.5525  -0.1674  -0.0019  -0.3251  -0.0726  -0.0031   0.0000  -0.0143   0.0014    0.053
    73  42.8863  34.2026   2.0388   1.9964   0.4230  -0.1462  -0.0021  -0.3285  -0.0734  -0.0023   0.0000  -0.0132   0.0019    0.070
    74  43.3282  34.4000   2.0560   1.7205   0.3171  -0.1261  -0.0028  -0.3288  -0.0734  -0.0021   0.0000  -0.0133   0.0019    0.069
    75  43.7082  34.5698   2.0709   1.4833   0.2320  -0.1065  -0.0034  -0.3221  -0.0719  -0.0022   0.0000  -0.0142   0.0014    0.053
    76  44.0258  34.7116   2.0833   1.2850   0.1649  -0.0869  -0.0035  -0.3034  -0.0677  -0.0023   0.0000  -0.0155   0.0004    0.022
    77  44.2804  34.8254   2.0932   1.1261   0.1126  -0.0673  -0.0032  -0.2681  -0.0599  -0.0026   0.0000  -0.0164  -0.0008   -0.025
    78  44.4718  34.9108   2.1007   1.0066   0.0720  -0.0478  -0.0028  -0.2133  -0.0476  -0.0029   0.0000  -0.0158  -0.0017   -0.081
    79  44.5995  34.9679   2.1057   0.9269   0.0398  -0.0286  -0.0023  -0.1386  -0.0309  -0.0035   0.0000  -0.0121  -0.0019   -0.139
    80  44.6634  34.9964   2.1082   0.8870   0.0127  -0.0095  -0.0017  -0.0486  -0.0108  -0.0042   0.0000  -0.0048  -0.0009   -0.191

  Surface # 2     main_wing (YDUP)                        
     # Chordwise = 10   # Spanwise = 80     First strip = 81
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =  -0.00177     Clsurf  =  -0.00504
     CYsurf  =  -0.00023     Cmsurf  =   0.00196
     CDsurf  =   0.00091     Cnsurf  =   0.00019
     CDisurf =   0.00091     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =  -0.00349     CDsurf  =   0.00178

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    81  22.4080  -0.0036  -0.9570  12.4590   0.1808   0.7186  -0.0829   0.0577   0.0577  -0.0014   0.0000  -0.0350   0.0494    0.857
    82  22.4080  -0.0327  -0.9570  12.4590   0.5422   0.7186  -0.0829   0.0577   0.0577  -0.0014   0.0000  -0.0350   0.0494    0.857
    83  22.4080  -0.0907  -0.9570  12.4590   0.9028   0.7190  -0.0829   0.0577   0.0577  -0.0014   0.0000  -0.0350   0.0495    0.857
    84  22.4080  -0.1775  -0.9570  12.4590   1.2619   0.7204  -0.0830   0.0578   0.0578  -0.0014   0.0000  -0.0351   0.0496    0.857
    85  22.4080  -0.2932  -0.9570  12.4590   1.6191   0.7236  -0.0833   0.0581   0.0581  -0.0014   0.0000  -0.0353   0.0498    0.857
    86  22.4080  -0.4374  -0.9570  12.4590   1.9739   0.7300  -0.0838   0.0586   0.0586  -0.0013   0.0000  -0.0355   0.0502    0.857
    87  22.4080  -0.6100  -0.9570  12.4590   2.3255   0.7410  -0.0845   0.0595   0.0595  -0.0013   0.0000  -0.0360   0.0509    0.856
    88  22.4080  -0.8106  -0.9570  12.4590   2.6736   0.7590  -0.0856   0.0609   0.0609  -0.0013   0.0000  -0.0368   0.0520    0.854
    89  22.4080  -1.0391  -0.9570  12.4590   3.0176   0.7866  -0.0869   0.0631   0.0631  -0.0014   0.0000  -0.0380   0.0537    0.851
    90  22.4080  -1.2949  -0.9570  12.4590   3.3569   0.8278  -0.0879   0.0664   0.0664  -0.0014   0.0000  -0.0397   0.0563    0.847
    91  22.4080  -1.5778  -0.9570  12.4590   3.6910   0.8886  -0.0878   0.0713   0.0713  -0.0015   0.0000  -0.0422   0.0600    0.841
    92  22.4080  -1.8873  -0.9570  12.4590   4.0195   0.9788  -0.0855   0.0786   0.0786  -0.0016   0.0000  -0.0458   0.0655    0.833
    93  22.4080  -2.2230  -0.9570  12.4590   4.3417   1.1178  -0.0797   0.0897   0.0897  -0.0017   0.0000  -0.0514   0.0738    0.822
    94  22.4080  -2.5842  -0.9570  12.4590   4.6573   1.3578  -0.0690   0.1090   0.1090  -0.0009   0.0000  -0.0607   0.0880    0.807
