 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00476     Clsurf  =   0.00450
     CYsurf  =  -0.00037     Cmsurf  =  -0.01612
     CDsurf  =   0.00103     Cnsurf  =   0.00001
     CDisurf =   0.00103     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.00936     CDsurf  =   0.00202

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   0.9970  -0.0909   0.0800   0.0800  -0.0018   0.0000  -0.0438  -0.0638    0.798
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   0.9970  -0.0909   0.0800   0.0800  -0.0018   0.0000  -0.0438  -0.0638    0.798
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   0.9977  -0.0909   0.0801   0.0801  -0.0018   0.0000  -0.0439  -0.0639    0.798
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   0.9998  -0.0911   0.0802   0.0802  -0.0018   0.0000  -0.0440  -0.0640    0.798
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   1.0050  -0.0915   0.0806   0.0806  -0.0018   0.0000  -0.0442  -0.0644    0.798
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   1.0151  -0.0922   0.0815   0.0815  -0.0018   0.0000  -0.0447  -0.0650    0.798
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   1.0327  -0.0933   0.0829   0.0829  -0.0018   0.0000  -0.0454  -0.0661    0.798
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   1.0615  -0.0947   0.0852   0.0852  -0.0018   0.0000  -0.0466  -0.0679    0.798
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   1.1063  -0.0962   0.0888   0.0888  -0.0018   0.0000  -0.0485  -0.0707    0.796
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   1.1744  -0.0966   0.0943   0.0943  -0.0019   0.0000  -0.0513  -0.0749    0.795
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   1.2782  -0.0946   0.1026   0.1026  -0.0020   0.0000  -0.0555  -0.0812    0.791
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   1.4422  -0.0884   0.1158   0.1158  -0.0021   0.0000  -0.0621  -0.0910    0.786
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   1.7363  -0.0762   0.1394   0.1394  -0.0009   0.0000  -0.0735  -0.1084    0.777
    14  22.5966   3.0754  -0.9200  12.2979   7.5875   2.4779   0.3654   0.2506   0.2030   0.0410   0.0000  -0.1033  -0.1304    0.759
    15  22.9924   3.7075  -0.8424  11.9598   7.8494   2.4611   0.3858   0.2557   0.2072   0.0383   0.0000  -0.1045  -0.1323    0.754
    16  23.3450   4.2708  -0.7732  11.6585   5.5431   1.5970  -0.0354   0.1690   0.1369  -0.0040   0.0000  -0.0706  -0.0890    0.766
    17  23.6484   4.7553  -0.7137  11.3993   5.7056   1.2174  -0.0354   0.1318   0.1068  -0.0025   0.0000  -0.0558  -0.0700    0.773
    18  23.9670   5.2641  -0.6513  11.1271   5.8372   0.9619  -0.0349   0.1067   0.0864  -0.0018   0.0000  -0.0461  -0.0575    0.784
