 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.18049     Clsurf  =  -0.03194
     CYsurf  =  -0.01410     Cmsurf  =  -0.68296
     CDsurf  =   0.00326     Cnsurf  =   0.00519
     CDisurf =   0.00326     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.35494     CDsurf  =   0.00640

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   4.3795  -0.0180   0.3513   0.3513   0.0115   0.0000  -0.0487  -0.1366    0.389
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   4.3795  -0.0181   0.3513   0.3513   0.0114   0.0000  -0.0487  -0.1366    0.389
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   4.3802  -0.0181   0.3514   0.3514   0.0113   0.0000  -0.0487  -0.1366    0.389
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   4.3822  -0.0182   0.3516   0.3516   0.0112   0.0000  -0.0489  -0.1368    0.389
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   4.3870  -0.0184   0.3519   0.3519   0.0110   0.0000  -0.0491  -0.1372    0.390
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   4.3966  -0.0189   0.3527   0.3527   0.0110   0.0000  -0.0496  -0.1379    0.391
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   4.4133  -0.0196   0.3541   0.3541   0.0109   0.0000  -0.0505  -0.1391    0.393
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   4.4406  -0.0206   0.3563   0.3563   0.0110   0.0000  -0.0519  -0.1410    0.396
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   4.4832  -0.0219   0.3597   0.3597   0.0111   0.0000  -0.0541  -0.1440    0.400
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   4.5483  -0.0234   0.3649   0.3649   0.0114   0.0000  -0.0572  -0.1485    0.407
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   4.6482  -0.0245   0.3729   0.3729   0.0120   0.0000  -0.0620  -0.1552    0.416
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   4.8082  -0.0248   0.3857   0.3857   0.0131   0.0000  -0.0692  -0.1657    0.429
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   5.1098  -0.0234   0.4097   0.4097   0.0191   0.0000  -0.0817  -0.1843    0.450
    14  22.5966   3.0754  -0.9200  12.2979   7.5875   5.8287   0.4033   0.5871   0.4718   0.0714   0.0000  -0.1114  -0.1958    0.486
    15  22.9924   3.7075  -0.8424  11.9598   7.8494   5.7865   0.4112   0.5995   0.4818   0.0670   0.0000  -0.1114  -0.1979    0.481
    16  23.3450   4.2708  -0.7732  11.6585   5.5431   4.9073  -0.0080   0.5237   0.4208   0.0102   0.0000  -0.0768  -0.1551    0.432
    17  23.6484   4.7553  -0.7137  11.3993   5.7056   4.5115  -0.0063   0.4924   0.3957   0.0095   0.0000  -0.0613  -0.1367    0.405
    18  23.9670   5.2641  -0.6513  11.1271   5.8372   4.2373  -0.0045   0.4738   0.3807   0.0084   0.0000  -0.0511  -0.1248    0.384
    19  24.3002   5.7964  -0.5859  10.8424   5.9373   4.0226  -0.0025   0.4616   0.3710   0.0073   0.0000  -0.0435  -0.1163    0.367
    20  24.6474   6.3509  -0.5178  10.5458   6.0058   3.8436  -0.0007   0.4535   0.3645   0.0063   0.0000  -0.0377  -0.1100    0.353
    21  25.0079   6.9266  -0.4471  10.2379   6.0430   3.6883   0.0010   0.4483   0.3603   0.0054   0.0000  -0.0332  -0.1052    0.342
    22  25.3809   7.5223  -0.3740   9.9192   6.0490   3.5495   0.0023   0.4454   0.3579   0.0045   0.0000  -0.0295  -0.1016    0.333
    23  25.7657   8.1368  -0.2985   9.5905   6.0244   3.4224   0.0030   0.4442   0.3569   0.0037   0.0000  -0.0267  -0.0990    0.325
    24  26.1614   8.7690  -0.2209   9.2523   5.9700   3.3040   0.0031   0.4445   0.3572   0.0029   0.0000  -0.0245  -0.0972    0.319
    25  26.5674   9.4174  -0.1413   8.9055   5.8867   3.1920   0.0018   0.4462   0.3586   0.0023   0.0000  -0.0228  -0.0960    0.314
    26  27.0024  10.1168  -0.0685   8.6379   6.4402   3.0867   0.0018   0.4690   0.3575   0.0016   0.0000  -0.0207  -0.0941    0.308
    27  27.4662  10.8669  -0.0029   8.4530   6.4244   2.9951   0.0046   0.4650   0.3545   0.0010   0.0000  -0.0189  -0.0919    0.303
    28  27.9384  11.6306   0.0640   8.2648   6.3881   2.9087   0.0061   0.4619   0.3521   0.0006   0.0000  -0.0177  -0.0904    0.300
    29  28.4181  12.4065   0.1318   8.0736   6.3319   2.8259   0.0072   0.4594   0.3502   0.0001   0.0000  -0.0168  -0.0892    0.298
    30  28.9043  13.1928   0.2006   7.8797   6.2569   2.7453   0.0080   0.4573   0.3486  -0.0002   0.0000  -0.0163  -0.0884    0.297
    31  29.3961  13.9881   0.2702   7.6837   6.1641   2.6662   0.0085   0.4555   0.3472  -0.0005   0.0000  -0.0160  -0.0879    0.296
    32  29.8923  14.7908   0.3404   7.4858   6.0545   2.5879   0.0089   0.4538   0.3459  -0.0007   0.0000  -0.0159  -0.0875    0.296
    33  30.3921  15.5992   0.4112   7.2866   5.9293   2.5099   0.0091   0.4522   0.3447  -0.0009   0.0000  -0.0159  -0.0872    0.296
    34  30.8945  16.4116   0.4822   7.0863   5.7897   2.4316   0.0091   0.4505   0.3434  -0.0011   0.0000  -0.0160  -0.0871    0.297
    35  31.3984  17.2266   0.5535   6.8855   5.6369   2.3528   0.0090   0.4486   0.3420  -0.0012   0.0000  -0.0163  -0.0870    0.298
    36  31.9027  18.0423   0.6249   6.6844   5.4723   2.2732   0.0087   0.4464   0.3403  -0.0013   0.0000  -0.0168  -0.0871    0.299
    37  32.4066  18.8573   0.6962   6.4835   5.2972   2.1926   0.0082   0.4440   0.3384  -0.0013   0.0000  -0.0175  -0.0873    0.302
    38  32.9089  19.6698   0.7673   6.2832   5.1129   2.1112   0.0075   0.4411   0.3362  -0.0012   0.0000  -0.0187  -0.0878    0.306
    39  33.4087  20.4781   0.8380   6.0840   4.9207   2.0294   0.0066   0.4379   0.3338  -0.0009   0.0000  -0.0207  -0.0890    0.312
    40  33.9050  21.2808   0.9082   5.8861   4.7221   1.9483   0.0055   0.4345   0.3312   0.0000   0.0000  -0.0244  -0.0916    0.324
    41  34.3967  22.0761   0.9778   5.6901   4.5183   1.8693   0.0044   0.4311   0.3286   0.0031   0.0000  -0.0317  -0.0973    0.347
    42  34.7955  22.7211   1.0342   5.5311   2.7734   1.8034   0.0037   0.4283   0.3265  -0.0065   0.0000  -0.0539  -0.1156    0.415
    43  35.1799  23.3428   1.0886   5.3779   4.0090   1.7403   0.0033   0.4251   0.3240  -0.0061   0.0000  -0.0613  -0.1213    0.439
    44  35.6353  24.0794   1.1531   5.1963   3.8090   1.6711   0.0029   0.4224   0.3220  -0.0055   0.0000  -0.0644  -0.1236    0.450
    45  36.0826  24.8028   1.2163   5.0180   3.6083   1.6042   0.0027   0.4199   0.3200  -0.0050   0.0000  -0.0659  -0.1245    0.456
    46  36.5209  25.5117   1.2784   4.8433   3.4082   1.5398   0.0027   0.4175   0.3183  -0.0047   0.0000  -0.0667  -0.1248    0.460
    47  36.9492  26.2045   1.3390   4.6725   3.2096   1.4780   0.0028   0.4154   0.3167  -0.0045   0.0000  -0.0671  -0.1248    0.462
    48  37.3668  26.8799   1.3981   4.5060   3.0133   1.4185   0.0030   0.4134   0.3151  -0.0044   0.0000  -0.0674  -0.1246    0.464
    49  37.7728  27.5366   1.4555   4.3442   2.8202   1.3611   0.0034   0.4115   0.3137  -0.0042   0.0000  -0.0674  -0.1244    0.465
    50  38.1664  28.1731   1.5112   4.1873   2.6312   1.3057   0.0039   0.4095   0.3122  -0.0042   0.0000  -0.0674  -0.1240    0.466
    51  38.5467  28.7882   1.5650   4.0357   2.4467   1.2518   0.0045   0.4074   0.3105  -0.0041   0.0000  -0.0673  -0.1236    0.467
    52  38.9130  29.3807   1.6168   3.8896   2.2675   1.1994   0.0053   0.4050   0.3087  -0.0040   0.0000  -0.0671  -0.1230    0.467
    53  39.2646  29.9494   1.6666   3.7494   2.0939   1.1481   0.0063   0.4021   0.3065  -0.0040   0.0000  -0.0668  -0.1223    0.468
    54  39.6008  30.4931   1.7142   3.6154   1.9264   1.0975   0.0076   0.3987   0.3039  -0.0039   0.0000  -0.0664  -0.1214    0.468
    55  39.9208  31.0107   1.7595   3.4878   1.7654   1.0472   0.0091   0.3943   0.3006  -0.0039   0.0000  -0.0657  -0.1201    0.469
    56  40.2241  31.5013   1.8024   3.3669   1.6109   0.9965   0.0109   0.3887   0.2963  -0.0039   0.0000  -0.0649  -0.1185    0.469
    57  40.5101  31.9637   1.8428   3.2529   1.4631   0.9446   0.0129   0.3814   0.2907  -0.0039   0.0000  -0.0636  -0.1162    0.469
    58  40.7780  32.3972   1.8807   3.1461   1.3219   0.8907   0.0149   0.3718   0.2834  -0.0040   0.0000  -0.0617  -0.1130    0.468
    59  41.0275  32.8007   1.9161   3.0466   1.1875   0.8340   0.0167   0.3595   0.2741  -0.0045   0.0000  -0.0591  -0.1088    0.466
    60  41.2443  33.1513   1.9467   2.9602   0.9321   0.7767   0.0182   0.3447   0.2627  -0.0062   0.0000  -0.0555  -0.1033    0.461
    61  41.4296  33.4511   1.9730   2.8863   0.8279   0.7188   0.0182   0.3274   0.2496  -0.0118   0.0000  -0.0501  -0.0959    0.451
    62  41.8525  33.7408   1.9984   2.6418   0.7761   0.6566   0.0171   1.1388   0.2485   0.0039   0.0000  -0.0271  -0.0369    0.359
    63  42.4709  34.0170   2.0225   2.2558   0.5879   0.5948   0.0220   1.2094   0.2640  -0.0030   0.0000  -0.0200  -0.0356    0.326
    64  43.0147  34.2599   2.0438   1.9163   0.4349   0.5308   0.0273   1.2711   0.2774  -0.0075   0.0000  -0.0154  -0.0352    0.306
    65  43.4828  34.4691   2.0621   1.6240   0.3131   0.4631   0.0336   1.3092   0.2857  -0.0115   0.0000  -0.0103  -0.0340    0.286
    66  43.8744  34.6440   2.0774   1.3796   0.2184   0.3903   0.0401   1.2995   0.2836  -0.0156   0.0000  -0.0031  -0.0308    0.261
    67  44.1886  34.7843   2.0896   1.1834   0.1461   0.3113   0.0454   1.2093   0.2639  -0.0195   0.0000   0.0062  -0.0249    0.226
    68  44.4248  34.8899   2.0989   1.0359   0.0915   0.2267   0.0490   1.0070   0.2198  -0.0224   0.0000   0.0144  -0.0170    0.184
    69  44.5826  34.9603   2.1050   0.9375   0.0498   0.1378   0.0512   0.6774   0.1478  -0.0216   0.0000   0.0159  -0.0089    0.143
    70  44.6615  34.9956   2.1081   0.8882   0.0157   0.0462   0.0527   0.2408   0.0525  -0.0126   0.0000   0.0069  -0.0026    0.119

  Surface # 2     main_wing (YDUP)                        
     # Chordwise = 10   # Spanwise = 70     First strip = 71
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.18049     Clsurf  =   0.03194
     CYsurf  =   0.01410     Cmsurf  =  -0.68296
     CDsurf  =   0.00326     Cnsurf  =  -0.00519
     CDisurf =   0.00326     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.35494     CDsurf  =   0.00640

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    71  22.4080  -0.0042  -0.9570  12.4590   0.2104   4.3795  -0.0180   0.3513   0.3513   0.0115   0.0000  -0.0487   0.1366    0.389
    72  22.4080  -0.0380  -0.9570  12.4590   0.6307   4.3795  -0.0181   0.3513   0.3513   0.0114   0.0000  -0.0487   0.1366    0.389
    73  22.4080  -0.1054  -0.9570  12.4590   1.0498   4.3802  -0.0181   0.3514   0.3514   0.0113   0.0000  -0.0487   0.1366    0.389
