 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.36981     Clsurf  =  -0.07049
     CYsurf  =  -0.01974     Cmsurf  =  -1.39359
     CDsurf  =   0.01020     Cnsurf  =  -0.00052
     CDisurf =   0.01020     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.72574     CDsurf  =   0.02001

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   8.0057   0.0701   0.6416   0.6416   0.0468   0.0000  -0.0460  -0.2067    0.322
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   8.0057   0.0701   0.6417   0.6417   0.0467   0.0000  -0.0460  -0.2067    0.322
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   8.0063   0.0701   0.6417   0.6417   0.0464   0.0000  -0.0461  -0.2067    0.322
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   8.0081   0.0700   0.6419   0.6419   0.0461   0.0000  -0.0462  -0.2069    0.322
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   8.0126   0.0700   0.6423   0.6423   0.0459   0.0000  -0.0465  -0.2073    0.322
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   8.0213   0.0698   0.6430   0.6430   0.0458   0.0000  -0.0470  -0.2080    0.323
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   8.0367   0.0695   0.6443   0.6443   0.0460   0.0000  -0.0480  -0.2093    0.325
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   8.0619   0.0688   0.6462   0.6462   0.0463   0.0000  -0.0495  -0.2113    0.327
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   8.1014   0.0674   0.6493   0.6493   0.0471   0.0000  -0.0519  -0.2144    0.330
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   8.1622   0.0645   0.6541   0.6541   0.0485   0.0000  -0.0554  -0.2192    0.335
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   8.2568   0.0590   0.6615   0.6615   0.0508   0.0000  -0.0605  -0.2262    0.342
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   8.4117   0.0502   0.6735   0.6735   0.0550   0.0000  -0.0684  -0.2372    0.352
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   8.7300   0.0375   0.6971   0.6971   0.0718   0.0000  -0.0817  -0.2568    0.367
    14  22.5966   3.0754  -0.9200  12.2979   7.5875   9.4019   0.4421   0.9460   0.7547   0.1264   0.0000  -0.1106  -0.2599    0.397
    15  22.9924   3.7075  -0.8424  11.9598   7.8494   9.3214   0.4337   0.9663   0.7709   0.1167   0.0000  -0.1093  -0.2620    0.392
    16  23.3450   4.2708  -0.7732  11.6585   5.5431   8.4364   0.0204   0.9067   0.7234   0.0458   0.0000  -0.0746  -0.2207    0.353
    17  23.6484   4.7553  -0.7137  11.3993   5.7056   8.0279   0.0245   0.8830   0.7045   0.0407   0.0000  -0.0590  -0.2034    0.334
    18  23.9670   5.2641  -0.6513  11.1271   5.8372   7.7371   0.0286   0.8725   0.6961   0.0363   0.0000  -0.0487  -0.1927    0.320
    19  24.3002   5.7964  -0.5859  10.8424   5.9373   7.5021   0.0319   0.8688   0.6931   0.0324   0.0000  -0.0411  -0.1856    0.309
    20  24.6474   6.3509  -0.5178  10.5458   6.0058   7.2990   0.0341   0.8696   0.6937   0.0289   0.0000  -0.0354  -0.1808    0.301
    21  25.0079   6.9266  -0.4471  10.2379   6.0430   7.1156   0.0352   0.8737   0.6971   0.0257   0.0000  -0.0309  -0.1777    0.294
    22  25.3809   7.5223  -0.3740   9.9192   6.0490   6.9444   0.0349   0.8806   0.7025   0.0227   0.0000  -0.0275  -0.1759    0.289
