ALT, MACH, MAX_THRUST
0, 0.0043415340086830675, 49267.93557833089
0, 0.05209840810419681, 46925.32942898975
0, 0.10419681620839362, 44216.691068814056
0, 0.170767004341534, 41361.63982430454
0, 0.23154848046309695, 38945.82723279649
0, 0.3053545586107091, 36310.395314787704
0, 0.35890014471780024, 34553.440702781845
0, 0.4544138929088278, 32137.628111273792
0, 0.516642547033285, 30746.70571010249
0, 0.6049204052098408, 28989.751098096633
0, 0.7004341534008682, 27452.41581259151
0, 0.7771345875542691, 26573.93850658858
0, 0.8437047756874095, 25841.874084919473
0, 0.9044862518089725, 25256.222547584188
5000, 0.0043415340086830675, 41215.22693997072
5000, 0.05499276410998553, 39092.240117130306
5000, 0.10419681620839362, 37262.07906295754
5000, 0.16208393632416787, 35285.50512445095
5000, 0.23010130246020258, 33601.75695461201
5000, 0.2894356005788712, 32357.247437774524
5000, 0.3458755426917511, 31405.563689604685
5000, 0.4023154848046309, 30746.70571010249
5000, 0.48480463096960924, 29136.163982430455
5000, 0.5542691751085383, 27818.448023426063
5000, 0.6251808972503617, 26793.55783308931
5000, 0.6888567293777134, 25915.080527086386
5000, 0.7785817655571635, 24890.190336749634
5000, 0.8509406657018813, 24084.919472913618
5000, 0.9015918958031838, 23572.474377745242
10000, 0.0043415340086830675, 34114.20204978038
10000, 0.05933429811866859, 32137.628111273792
10000, 0.13169319826338638, 30014.641288433384
10000, 0.191027496382055, 28477.306002928257
10000, 0.26049204052098407, 27232.796486090778
10000, 0.341534008683068, 26061.493411420204
10000, 0.43704775687409547, 25402.63543191801
10000, 0.5340086830680173, 25036.603221083456
10000, 0.6063675832127351, 25036.603221083456
10000, 0.7105643994211287, 23792.093704245974
10000, 0.8046309696092618, 22840.409956076135
10000, 0.9030390738060781, 21888.726207906297
20000, 0.002894356005788712, 22986.822840409957
20000, 0.0723589001447178, 21376.28111273792
20000, 0.13748191027496381, 19985.35871156662
20000, 0.21273516642547033, 18887.26207906296
20000, 0.28798842257597684, 18008.78477306003
20000, 0.37192474674384945, 17276.720351390923
20000, 0.4833574529667149, 16837.48169838946
20000, 0.6005788712011577, 16764.275256222547
20000, 0.7192474674384949, 17349.926793557835
20000, 0.8408104196816207, 18301.610541727674
20000, 0.9015918958031838, 18594.436310395315
30000, 0.001447178002894356, 15007.320644216692
30000, 0.07670043415340086, 13836.01756954612
30000, 0.15629522431259044, 12811.12737920937
30000, 0.23878437047756873, 12152.269399707175
30000, 0.341534008683068, 11420.204978038068
30000, 0.4544138929088278, 11054.172767203514
30000, 0.5701881331403762, 10980.966325036603
30000, 0.6859623733719247, 11200.585651537336
30000, 0.7829232995658465, 11566.61786237189
30000, 0.9015918958031838, 12298.682284040997
36000, 0.001447178002894356, 11420.204978038068
36000, 0.08827785817655572, 10468.521229868229
36000, 0.17945007235890012, 9663.25036603221
36000, 0.2778581765557163, 9004.392386530015
36000, 0.37916063675832123, 8565.15373352855
36000, 0.46888567293777134, 8345.534407027819
36000, 0.5658465991316931, 8345.534407027819
36000, 0.683068017366136, 8491.947291361641
36000, 0.8002894356005789, 8857.979502196193
36000, 0.9044862518089725, 9370.424597364568
45000, 0.001447178002894356, 7613.469985358712
45000, 0.09985528219971056, 6734.992679355783
45000, 0.20549927641099855, 6222.547584187409
45000, 0.2923299565846599, 5856.515373352855
45000, 0.3748191027496382, 5563.6896046852125
45000, 0.48480463096960924, 5490.4831625183015
45000, 0.5890014471780028, 5417.276720351391
45000, 0.6888567293777134, 5563.6896046852125
45000, 0.7858176555716353, 5783.308931185945
45000, 0.9030390738060781, 6076.134699853587
