ALT, MACH, THRUST, TSFC
0, 0, 9477.611940298508, 0.4636500754147813
0, 0, 12014.925373134329, 0.430920060331825
0, 0, 14925.37313432836, 0.40980392156862744
0, 0, 17761.194029850747, 0.3971342383107089
0, 0, 21343.283582089553, 0.3886877828054298
0, 0, 25074.626865671642, 0.3844645550527903
0, 0, 28283.58208955224, 0.3844645550527903
0, 0, 31940.29850746269, 0.3844645550527903
0, 0, 35447.76119402985, 0.38657616892911006
0, 0, 39776.119402985074, 0.38974358974358975
0, 0, 44104.4776119403, 0.3929110105580694
0, 0, 49104.4776119403, 0.4003016591251885
0, 0.1, 7537.313432835821, 0.5861236802413272
0, 0.1, 9402.985074626866, 0.5386123680241327
0, 0.1, 11716.417910447763, 0.5027149321266968
0, 0.1, 14402.985074626866, 0.4763197586726998
0, 0.1, 17835.82089552239, 0.4583710407239819
0, 0.1, 21417.910447761195, 0.4457013574660633
0, 0.1, 25223.880597014926, 0.43936651583710407
0, 0.1, 29179.10447761194, 0.4372549019607843
0, 0.1, 33507.46268656717, 0.4372549019607843
0, 0.1, 38208.9552238806, 0.4383107088989442
0, 0.1, 44402.98507462687, 0.44358974358974357
0, 0.2, 5895.522388059701, 0.7571644042232277
0, 0.2, 6716.417910447762, 0.7117647058823529
0, 0.2, 7835.820895522388, 0.6716440422322775
0, 0.2, 9029.850746268658, 0.6346907993966817
0, 0.2, 10522.388059701492, 0.5998491704374057
0, 0.2, 12238.805970149255, 0.571342383107089
0, 0.2, 14328.358208955226, 0.5481146304675716
0, 0.2, 16417.910447761195, 0.5322775263951735
0, 0.2, 19328.358208955226, 0.5164404223227752
0, 0.2, 22313.432835820895, 0.5069381598793363
0, 0.2, 25447.761194029852, 0.4995475113122172
0, 0.2, 28955.223880597016, 0.49638009049773757
0, 0.2, 32910.44776119403, 0.4932126696832579
0, 0.2, 36417.9104477612, 0.4932126696832579
0, 0.2, 40149.253731343284, 0.49426847662141776
0, 0.3, 4552.23880597015, 1.0021116138763198
0, 0.3, 5000, 0.9461538461538461
0, 0.3, 5597.014925373134, 0.8933634992458521
0, 0.3, 6119.402985074627, 0.850075414781297
0, 0.3, 6865.671641791045, 0.8057315233785822
0, 0.3, 7686.567164179105, 0.7656108597285067
0, 0.3, 8731.34328358209, 0.7276018099547511
0, 0.3, 10074.626865671642, 0.6917043740573152
0, 0.3, 11641.79104477612, 0.658974358974359
0, 0.3, 13432.835820895523, 0.6315233785822021
0, 0.3, 15447.761194029852, 0.6093514328808446
0, 0.3, 17611.940298507463, 0.5914027149321266
0, 0.3, 19626.865671641794, 0.5787330316742081
0, 0.3, 22313.432835820895, 0.5671191553544495
0, 0.3, 25895.522388059704, 0.5565610859728507
0, 0.3, 29328.358208955226, 0.5512820512820513
0, 0.3, 32835.82089552239, 0.5470588235294117
0, 0.3, 36641.791044776124, 0.5470588235294117
0, 0.4, 5597.014925373134, 1
0, 0.4, 6044.776119402985, 0.9672699849170436
0, 0.4, 6567.164179104478, 0.9271493212669684
0, 0.4, 7388.059701492538, 0.8785822021116139
0, 0.4, 8283.58208955224, 0.8352941176470587
0, 0.4, 9626.865671641792, 0.7846153846153845
0, 0.4, 11194.029850746268, 0.7434389140271493
0, 0.4, 13134.328358208955, 0.7096530920060331
0, 0.4, 15522.388059701494, 0.6800904977375566
0, 0.4, 17910.44776119403, 0.6558069381598792
0, 0.4, 20298.507462686568, 0.6399698340874811
0, 0.4, 23805.97014925373, 0.6230769230769231
0, 0.4, 26865.671641791047, 0.6146304675716441
0, 0.4, 29925.37313432836, 0.6082956259426847
0, 0.4, 33656.71641791045, 0.6040723981900452
0, 0.5, 7014.925373134329, 1
0, 0.5, 7761.194029850747, 0.9535444947209653
0, 0.5, 8731.34328358209, 0.9092006033182503
0, 0.5, 9701.492537313434, 0.8711915535444947
0, 0.5, 10671.641791044776, 0.8395173453996982
0, 0.5, 12014.925373134329, 0.8067873303167421
0, 0.5, 13283.58208955224, 0.780392156862745
0, 0.5, 14776.119402985076, 0.7561085972850679
0, 0.5, 16268.65671641791, 0.73815987933635
0, 0.5, 18059.701492537315, 0.7202111613876319
0, 0.5, 20000, 0.7054298642533936
0, 0.5, 22014.92537313433, 0.693815987933635
0, 0.5, 24328.358208955226, 0.6822021116138763
0, 0.5, 26716.417910447763, 0.6726998491704373
0, 0.5, 29477.61194029851, 0.6663650075414781
0, 0.5, 31343.283582089553, 0.6621417797888386
0, 0.6, 8656.716417910447, 1.0010558069381599
0, 0.6, 9552.23880597015, 0.9609351432880844
0, 0.6, 10522.388059701492, 0.9282051282051282
0, 0.6, 11492.537313432837, 0.8986425339366515
0, 0.6, 12686.567164179105, 0.869079939668175
0, 0.6, 13955.223880597016, 0.8437405731523377
0, 0.6, 15746.268656716418, 0.8152337858220211
0, 0.6, 17761.194029850747, 0.789894419306184
0, 0.6, 19925.373134328358, 0.7687782805429864
